# Data saved by LaserCtrl
# Date: 2023-03-24 12:45:49
# Epochtime: 1679676349.5232272
# Begin config
# DAQ:
#   ai: Dev1/ai3
#   ai_ref: Dev1/ai3
#   dev: Dev1
#   timeout: 5.0
#   trig: /Dev1/PFI1
# GUI:
#   Defaults:
#     center: 1550
#     finestart: -100.0
#     finestep: 1.0
#     finestop: 100.0
#     samples_centerspan: 2000
#     samples_startstop: 100000
#     span: 1
#     speed_centerspan: 20
#     speed_startstop: 40.0
#     start: 1480
#     step_delay: 0.1
#     stop: 1550
#   overwrite_config: false
#   refresh: 0.3
# Laser:
#   kind: SantecTSL
#   rsc_name: GPIB2::9::INSTR
# LaserSettings:
#   attenuation: 0
#   fine: 0.0
#   wavelength: 1551.0
# Monitor:
#   scroll_time: 10
#   tstep: 0.05
# Save:
#   compress: false
#   dir: ..\..\..\data\CEO22_COH_v2\20230324_final_checks
#   fname: voltage_sweep_BD_1530nm_47.0V_0dBatt_med
#   loop_save: false
# Scan:
#   Finescan:
#     finestart: -99.0
#     finestep: 1.0
#     finestop: 99.0
#     step_delay: 0.1
#   Wavscan:
#     samples: 40000
#     speed: 40
#     wavstart: 1529
#     wavstop: 1531
#   epoch_time: 0.0
#   loop_delay: 0.3
#   twoway: false
#   type: wavscan
# End config
# Begin data
# Columns: wavelength PD voltage
# Units: nm V
1.529008850e+03 3.836342708e-01
1.529008900e+03 3.828290506e-01
1.529008950e+03 3.823459184e-01
1.529009000e+03 3.831511387e-01
1.529009050e+03 3.817017422e-01
1.529009100e+03 3.807354779e-01
1.529009150e+03 3.804133898e-01
1.529009200e+03 3.812186100e-01
1.529009250e+03 3.817017422e-01
1.529009300e+03 3.812186100e-01
1.529009350e+03 3.808965219e-01
1.529009400e+03 3.794471255e-01
1.529009450e+03 3.789639933e-01
1.529009500e+03 3.794471255e-01
1.529009550e+03 3.788029493e-01
1.529009600e+03 3.796081695e-01
1.529009650e+03 3.788029493e-01
1.529009700e+03 3.784808612e-01
1.529009750e+03 3.779977290e-01
1.529009800e+03 3.775145969e-01
1.529009850e+03 3.762262444e-01
1.529009900e+03 3.757431123e-01
1.529009950e+03 3.759041563e-01
1.529010000e+03 3.775145969e-01
1.529010050e+03 3.755820682e-01
1.529010100e+03 3.755820682e-01
1.529010150e+03 3.750989361e-01
1.529010200e+03 3.760652004e-01
1.529010250e+03 3.746158039e-01
1.529010300e+03 3.744547599e-01
1.529010350e+03 3.760652004e-01
1.529010400e+03 3.728443194e-01
1.529010450e+03 3.736495396e-01
1.529010500e+03 3.746158039e-01
1.529010550e+03 3.728443194e-01
1.529010600e+03 3.736495396e-01
1.529010650e+03 3.742937158e-01
1.529010700e+03 3.726832753e-01
1.529010750e+03 3.726832753e-01
1.529010800e+03 3.736495396e-01
1.529010850e+03 3.704286586e-01
1.529010900e+03 3.718780551e-01
1.529010950e+03 3.736495396e-01
1.529011000e+03 3.715559670e-01
1.529011050e+03 3.720390991e-01
1.529011100e+03 3.710728348e-01
1.529011150e+03 3.712338789e-01
1.529011200e+03 3.702676146e-01
1.529011250e+03 3.693013502e-01
