x y correlation
2 5 -0.00167500575109271
1 5 -0.000666081100863717
0 5 0.000238563845649185
-1 5 -0.00210403184152159
19 6 7.48727163821426e-05
18 6 -0.00604056437389772
17 6 0.00322510822510822
16 6 0.0016298185941043
15 6 -0.00272208298524089
14 6 0.000129994526546243
13 6 -0.000302663438256665
12 6 -0.000271164021164029
11 6 0.00709081446786364
10 6 -0.00582437275985664
9 6 -0.00774754346182918
8 6 0.0189324116743471
7 6 0.00137262555295341
6 6 -0.0114087301587302
5 6 0.00527306967984933
4 6 0.00951696770662287
3 6 -0.00599415204678363
2 6 0.000113378684807249
1 6 0.00157287157287157
0 6 -0.0016387419165197
-1 6 0.00225366876310272
19 7 0.000590545368647938
18 7 0.0133744855967078
17 7 -0.0074121496656708
16 7 -0.00354907221104405
15 7 0.00470856327046096
14 7 -0.00337272678214884
13 7 -0.00197607490517494
12 7 0.00155190401669274
11 7 -0.00215500654198415
10 7 0.0016911504871523
9 7 0.00156494522691705
8 7 -0.00867030137816145
7 7 0.00318120013340516
6 7 0.0122848200312989
5 7 -0.0120620142701785
4 7 -0.0078044897738924
3 7 0.0173654009828954
2 7 -0.00111083165660631
1 7 -0.00710627400768247
0 7 0.00360082304526748
-1 7 -0.000258363598783484
19 8 -0.00551042394595854
18 8 -0.00987368541380888
17 8 0.0175154320987654
16 8 0.00103339947089946
15 8 -0.00946231319038337
14 8 0.00448994252873562
13 8 0.00668942247332077
12 8 -0.00700231481481482
11 8 -0.000126492612831418
10 8 0.00251393866985264
9 8 -0.00202087007642564
8 8 0.00231481481481481
7 8 -0.0012902246508804
6 8 -0.00308641975308643
5 8 0.0098804666248169
4 8 -0.0013303533418476
3 8 -0.00979396794455275
2 8 0.00790206128747794
1 8 0.0103044332210999
0 8 -0.00883773433927756
-1 8 -0.000749767062660152
19 9 0.00379081588696476
18 9 0.000923107277749583
17 9 -0.00934689359346894
16 9 0.00435556642748423
15 9 0.0168028518785548
14 9 -0.0119994226630977
13 9 -0.00741041715037537
12 9 0.016888635210553
11 9 -0.00341841954238092
10 9 -0.00491604065399912
9 9 0.00533932497402816
8 9 0.000662836942112233
7 9 -0.00203358534820471
6 9 0.00102739726027397
5 9 -0.00238629621030365
4 9 -1.96819398519995e-05
3 9 0.00461961601110843
2 9 -0.00683572515764297
1 9 -0.00359070153590702
0 9 0.0157844297874739
-1 9 -0.00359696734729044
19 10 0.00264179273613235
18 10 -0.00369814258703148
17 10 0.00294840294840294
16 10 -0.00374705062205063
15 10 -0.00492597861018914
14 10 0.0155845500673087
13 10 -0.00202957194482619
12 10 -0.014232982982983
11 10 0.0105597400679368
10 10 0.0105105105105105
9 10 -0.0104985938319272
8 10 -0.00337232393684007
7 10 0.00748289272879436
6 10 -0.00342842842842844
5 10 0.00146332773451417
4 10 6.47198923060924e-05
3 10 -0.00428718191876087
2 10 0.003257722007722
1 10 -0.000143325143325151
0 10 -0.00711127794461129
-1 10 0.00415745934613858
19 11 -0.00270440251572328
18 11 0.0027434842249657
17 11 -0.0018922558922559
16 11 0.000277777777777771
15 11 0.0014749837556855
14 11 -0.00294380587484036
13 11 0.00331450094161958
12 11 0.008179012345679
11 11 -0.0119914996964177
10 11 -0.00559737156511351
9 11 0.000113762212999548
8 11 -0.00559737156511351
7 11 -0.0119914996964177
6 11 0.008179012345679
5 11 0.00331450094161958
4 11 -0.00294380587484036
3 11 0.0014749837556855
2 11 0.000277777777777771
1 11 -0.0018922558922559
0 11 0.0027434842249657
-1 11 -0.00270440251572328
19 12 0.00415745934613858
18 12 -0.00711127794461129
17 12 -0.000143325143325151
16 12 0.003257722007722
15 12 -0.00428718191876087
14 12 6.47198923060924e-05
13 12 0.00146332773451417
12 12 -0.00342842842842844
11 12 0.00748289272879436
10 12 -0.00337232393684007
9 12 -0.0104985938319272
8 12 0.0105105105105105
7 12 0.0105597400679368
6 12 -0.014232982982983
5 12 -0.00202957194482619
4 12 0.0155845500673087
3 12 -0.00492597861018914
2 12 -0.00374705062205063
1 12 0.00294840294840294
0 12 -0.00369814258703148
-1 12 0.00264179273613235
19 13 -0.00359696734729044
18 13 0.0157844297874739
17 13 -0.00359070153590702
16 13 -0.00683572515764297
15 13 0.00461961601110843
14 13 -1.96819398519995e-05
13 13 -0.00238629621030365
12 13 0.00102739726027397
11 13 -0.00203358534820471
10 13 0.000662836942112233
9 13 0.00533932497402816
8 13 -0.00491604065399912
7 13 -0.00341841954238092
6 13 0.016888635210553
5 13 -0.00741041715037537
4 13 -0.0119994226630977
3 13 0.0168028518785548
2 13 0.00435556642748423
1 13 -0.00934689359346894
0 13 0.000923107277749583
-1 13 0.00379081588696476
19 14 -0.000749767062660152
18 14 -0.00883773433927756
17 14 0.0103044332210999
16 14 0.00790206128747794
15 14 -0.00979396794455275
14 14 -0.0013303533418476
13 14 0.0098804666248169
12 14 -0.00308641975308643
11 14 -0.0012902246508804
10 14 0.00231481481481481
9 14 -0.00202087007642564
8 14 0.00251393866985264
7 14 -0.000126492612831418
6 14 -0.00700231481481482
5 14 0.00668942247332077
4 14 0.00448994252873562
3 14 -0.00946231319038337
2 14 0.00103339947089946
1 14 0.0175154320987654
0 14 -0.00987368541380888
-1 14 -0.00551042394595854
19 15 -0.000258363598783484
18 15 0.00360082304526748
17 15 -0.00710627400768247
16 15 -0.00111083165660631
15 15 0.0173654009828954
14 15 -0.0078044897738924
13 15 -0.0120620142701785
12 15 0.0122848200312989
11 15 0.00318120013340516
10 15 -0.00867030137816145
9 15 0.00156494522691705
8 15 0.0016911504871523
7 15 -0.00215500654198415
6 15 0.00155190401669274
5 15 -0.00197607490517494
4 15 -0.00337272678214884
3 15 0.00470856327046096
2 15 -0.00354907221104405
1 15 -0.0074121496656708
0 15 0.0133744855967078
-1 15 0.000590545368647938
19 16 0.00225366876310272
18 16 -0.0016387419165197
17 16 0.00157287157287157
16 16 0.000113378684807249
15 16 -0.00599415204678363
14 16 0.00951696770662287
13 16 0.00527306967984933
12 16 -0.0114087301587302
11 16 0.00137262555295341
10 16 0.0189324116743471
9 16 -0.00774754346182918
8 16 -0.00582437275985664
7 16 0.00709081446786364
6 16 -0.000271164021164029
5 16 -0.000302663438256665
4 16 0.000129994526546243
3 16 -0.00272208298524089
2 16 0.0016298185941043
1 16 0.00322510822510822
0 16 -0.00604056437389772
-1 16 7.48727163821426e-05
19 17 -0.00210403184152159
18 17 0.000238563845649185
17 17 -0.000666081100863717
16 17 -0.00167500575109271
15 17 0.00340424329745458
14 17 -0.00061080570825699
13 17 -0.00172630257376021
12 17 0.00893719806763284
11 17 -0.00890947968638632
10 17 -0.00974624694821049
9 17 0.0189722158321192
8 17 0.00351280452963482
7 17 -0.0118331089464375
6 17 0.00437466451959205
5 17 0.00746472338218837
4 17 -0.00292909101005054
3 17 0.00201288244766505
2 17 -0.0016678168852082
1 17 -0.00404040404040405
0 17 0.00477873203316037
-1 17 -0.00055449214596057
19 18 0.00872487359723763
18 18 -0.00450102880658437
17 18 -0.00359477124183007
16 18 0.00390260270774976
15 18 -0.00279497764017889
14 18 0.00173963263466305
13 18 0.000152320815331775
12 18 -0.0036764705882353
11 18 0.0056586842387228
10 18 -0.000118595825426952
9 18 -0.00928519555970537
8 18 0.00088946869070208
7 18 0.0144514089788921
6 18 -0.0112608932461874
5 18 -0.00646671097817659
4 18 0.0170441739914356
3 18 -0.000601995184038536
2 18 -0.00537610877684408
1 18 0.00359477124183006
0 18 -0.00169450496247883
-1 18 -0.000878653348131713
19 19 -0.00531149285021435
18 19 0.0130136355260733
17 19 0.00116840042213176
16 19 -0.00920990286661929
15 19 0.00360769253149457
14 19 0.00337393492308571
13 19 -0.00160215869803526
12 19 -0.000663349917081268
11 19 -0.00123698447652449
10 19 -0.00341036751725245
9 19 0.00323777935718234
8 19 -0.00312951372171402
7 19 -0.00602180355055325
6 19 0.0126312880044223
5 19 -0.00218540068021475
4 19 -0.0115728827128724
3 19 0.00795728957551423
2 19 0.0103722459132907
1 19 -0.0104100708578321
0 19 -0.00181960567532708
-1 19 0.00543665321192778
19 20 0.00131027253668762
18 20 -0.0093294051627385
17 20 0.00215794306703397
16 20 0.0121151996151996
15 20 -0.0076126764723256
14 20 -0.00524642981539534
13 20 0.0108928265707927
12 20 -0.00163439955106623
11 20 -0.0038982723408953
10 20 0.000454816987075044
9 20 -0.00185051573940464
8 20 0.00141875746714456
7 20 0.00219407186620301
6 20 -0.0047067901234568
5 20 -0.000135536152485313
4 20 0.00780796470451642
3 20 -0.00733947663772226
2 20 -0.00409601972101973
1 20 0.0142791551882461
0 20 -0.00423213617658063
-1 20 -0.00722635156597422
19 21 -0.00224157393968715
18 21 0.00113168724279835
17 21 -0.00288267288267289
16 21 -0.00575396825396826
15 21 0.0124606387764282
14 21 -0.00243147656940761
13 21 -0.0119730551933942
12 21 0.00514245014245014
11 21 0.00834384195039932
10 21 -0.00758891645988421
9 21 -0.00113960113960115
8 21 0.00252274607113316
7 21 -0.00173041894353371
6 21 0.00228632478632478
5 21 0.000521512385919158
4 21 -0.0050913645741232
3 21 0.00621532463637726
2 21 -0.00041208791208792
1 21 -0.00724941724941726
0 21 0.00441595441595441
-1 21 0.00591033704241251
