x y potential
-2 -8.4 0.9137
-1.8 -8.4 0.7352
-1.6 -8.4 0.558
-1.4 -8.4 0.5925
-1.2 -8.4 0.826
-1 -8.4 1.0209
-0.8 -8.4 0.9772
-0.6 -8.4 0.7475
-0.4 -8.4 0.5623
-0.2 -8.4 0.5767
0 -8.4 0.7392
0.2 -8.4 0.8933
0.4 -8.4 0.9406
0.6 -8.4 0.8794
0.8 -8.4 0.7442
1 -8.4 0.5872
1.2 -8.4 0.5084
1.4 -8.4 0.6104
1.6 -8.4 0.861
1.8 -8.4 1.0447
2 -8.4 0.9431
2.2 -8.4 0.5934
2.4 -8.4 0.3075
2.6 -8.4 0.3716
2.8 -8.4 0.7337
3 -8.4 1.04
3.2 -8.4 0.9938
3.4 -8.4 0.6483
3.6 -8.4 0.3255
3.8 -8.4 0.2843
4 -8.4 0.5054
4.2 -8.4 0.7712
4.4 -8.4 0.8854
4.6 -8.4 0.791
4.8 -8.4 0.5521
5 -8.4 0.3041
5.2 -8.4 0.2131
5.4 -8.4 0.3798
5.6 -8.4 0.7105
5.8 -8.4 0.9232
6 -8.4 0.7813
6.2 -8.4 0.3608
6.4 -8.4 0.031
6.6 -8.4 0.1071
6.8 -8.4 0.5187
7 -8.4 0.8686
7.2 -8.4 0.8304
7.4 -8.4 0.4613
7.6 -8.4 0.1106
7.8 -8.4 0.061
8 -8.4 0.2947
8.2 -8.4 0.5802
8.4 -8.4 0.7083
8.6 -8.4 0.6229
8.8 -8.4 0.3948
9 -8.4 0.1598
9.2 -8.4 0.0749
9.4 -8.4 0.2332
9.6 -8.4 0.5491
9.8 -8.4 0.7624
10 -8.4 0.6523
-10 -8.2 1.296
-9.8 -8.2 1.2505
-9.6 -8.2 0.7996
-9.4 -8.2 0.6621
-9.2 -8.2 0.9525
-9 -8.2 1.0832
-8.8 -8.2 0.7258
-8.6 -8.2 0.3816
-8.4 -8.2 0.6765
-8.2 -8.2 1.3694
-8 -8.2 1.5496
-7.8 -8.2 0.8604
-7.6 -8.2 0.0847
-7.4 -8.2 0.2027
-7.2 -8.2 1.1106
-7 -8.2 1.7134
-6.8 -8.2 1.3091
-6.6 -8.2 0.459
-6.4 -8.2 0.2202
-6.2 -8.2 0.7899
-6 -8.2 1.3455
-5.8 -8.2 1.211
-5.6 -8.2 0.718
-5.4 -8.2 0.6362
-5.2 -8.2 1.0513
-5 -8.2 1.2842
-4.8 -8.2 0.9276
-4.6 -8.2 0.4838
-4.4 -8.2 0.6658
-4.2 -8.2 1.3367
-4 -8.2 1.6185
-3.8 -8.2 1.0843
-3.6 -8.2 0.3968
-3.4 -8.2 0.466
-3.2 -8.2 1.2298
-3 -8.2 1.7167
-2.8 -8.2 1.3297
-2.6 -8.2 0.6267
-2.4 -8.2 0.5521
-2.2 -8.2 1.1711
-2 -8.2 1.6204
-1.8 -8.2 1.3116
-1.6 -8.2 0.7232
-1.4 -8.2 0.7092
-1.2 -8.2 1.3051
-1 -8.2 1.6858
-0.8 -8.2 1.3214
-0.6 -8.2 0.7183
-0.4 -8.2 0.7188
-0.2 -8.2 1.3354
0 -8.2 1.7356
0.2 -8.2 1.395
0.4 -8.2 0.8148
0.6 -8.2 0.8127
0.8 -8.2 1.3807
1 -8.2 1.7042
1.2 -8.2 1.3164
1.4 -8.2 0.7714
1.6 -8.2 0.8784
1.8 -8.2 1.5473
2 -8.2 1.8681
2.2 -8.2 1.3518
2.4 -8.2 0.6402
2.6 -8.2 0.6802
2.8 -8.2 1.4537
3 -8.2 1.9809
3.2 -8.2 1.6041
3.4 -8.2 0.8334
3.6 -8.2 0.6413
3.8 -8.2 1.1885
4 -8.2 1.6874
4.2 -8.2 1.5202
4.4 -8.2 1.0359
4.6 -8.2 0.9666
4.8 -8.2 1.3535
5 -8.2 1.5222
5.2 -8.2 1.1206
5.4 -8.2 0.6999
5.6 -8.2 0.9542
5.8 -8.2 1.6645
6 -8.2 1.882
6.2 -8.2 1.1978
6.4 -8.2 0.3826
6.6 -8.2 0.4547
6.8 -8.2 1.355
7 -8.2 1.9891
7.2 -8.2 1.6069
7.4 -8.2 0.7219
7.6 -8.2 0.3972
7.8 -8.2 0.8933
8 -8.2 1.4512
8.2 -8.2 1.3923
8.4 -8.2 0.9706
8.6 -8.2 0.8676
8.8 -8.2 1.1547
9 -8.2 1.2379
9.2 -8.2 0.827
9.4 -8.2 0.4693
9.6 -8.2 0.7993
9.8 -8.2 1.5358
10 -8.2 1.7149
-10 -8 2.0791
-9.8 -8 1.8188
-9.6 -8 1.0234
-9.4 -8 0.8655
-9.2 -8 1.4627
-9 -8 1.783
-8.8 -8 1.2279
-8.6 -8 0.5762
-8.4 -8 0.8875
-8.2 -8 1.8962
-8 -8 2.2316
-7.8 -8 1.2812
-7.6 -8 0.1482
-7.4 -8 0.289
-7.2 -8 1.5796
-7 -8 2.4195
-6.8 -8 1.7836
-6.6 -8 0.5198
-6.4 -8 0.1955
-6.2 -8 1.0716
