x y potential
7.6 -9.4 0.6601
7.8 -9.4 0.8562
8 -9.4 0.7448
8.2 -9.4 0.4048
8.4 -9.4 0.1063
8.6 -9.4 0.088
8.8 -9.4 0.3589
9 -9.4 0.6882
9.2 -9.4 0.7957
9.4 -9.4 0.5835
9.6 -9.4 0.218
9.8 -9.4 -0.0073
10 -9.4 0.0856
-10 -9.2 0.6852
-9.8 -9.2 0.3285
-9.6 -9.2 0.0659
-9.4 -9.2 0.1066
-9.2 -9.2 0.4105
-9 -9.2 0.7194
-8.8 -9.2 0.7702
-8.6 -9.2 0.5125
-8.4 -9.2 0.151
-8.2 -9.2 -0.0237
-8 -9.2 0.1246
-7.8 -9.2 0.4659
-7.6 -9.2 0.7123
-7.4 -9.2 0.6565
-7.2 -9.2 0.3416
-7 -9.2 0.0236
-6.8 -9.2 -0.0416
-6.6 -9.2 0.1917
-6.4 -9.2 0.5242
-6.2 -9.2 0.6794
-6 -9.2 0.5315
-5.8 -9.2 0.2055
-5.6 -9.2 -0.0305
-5.4 -9.2 0.0123
-5.2 -9.2 0.291
-5 -9.2 0.5721
-4.8 -9.2 0.6277
-4.6 -9.2 0.4212
-4.4 -9.2 0.1306
-4.2 -9.2 -0.0036
-4 -9.2 0.1233
-3.8 -9.2 0.4007
-3.6 -9.2 0.6015
-3.4 -9.2 0.5713
-3.2 -9.2 0.3503
-3 -9.2 0.1311
-2.8 -9.2 0.095
-2.6 -9.2 0.2656
-2.4 -9.2 0.4994
-2.2 -9.2 0.6115
-2 -9.2 0.5275
-1.8 -9.2 0.3359
-1.6 -9.2 0.205
-1.4 -9.2 0.2413
-1.2 -9.2 0.4092
-1 -9.2 0.5712
-0.8 -9.2 0.6083
-0.6 -9.2 0.5127
-0.4 -9.2 0.3833
-0.2 -9.2 0.3343
0 -9.2 0.4021
0.2 -9.2 0.5259
0.4 -9.2 0.6092
0.6 -9.2 0.6029
0.8 -9.2 0.5371
1 -9.2 0.4833
1.2 -9.2 0.4888
1.4 -9.2 0.5423
1.6 -9.2 0.5961
1.8 -9.2 0.6158
2 -9.2 0.6074
2.2 -9.2 0.6013
2.4 -9.2 0.6142
2.6 -9.2 0.6326
2.8 -9.2 0.6325
3 -9.2 0.6121
3.2 -9.2 0.6012
3.4 -9.2 0.6309
3.6 -9.2 0.695
3.8 -9.2 0.7453
4 -9.2 0.7318
4.2 -9.2 0.6554
4.4 -9.2 0.5793
4.6 -9.2 0.5799
4.8 -9.2 0.6756
5 -9.2 0.7987
5.2 -9.2 0.8444
5.4 -9.2 0.7621
5.6 -9.2 0.6093
5.8 -9.2 0.5133
6 -9.2 0.5657
6.2 -9.2 0.7363
6.4 -9.2 0.8874
6.6 -9.2 0.8845
6.8 -9.2 0.7143
7 -9.2 0.5074
7.2 -9.2 0.4359
7.4 -9.2 0.5677
7.6 -9.2 0.8001
7.8 -9.2 0.9368
8 -9.2 0.8504
8.2 -9.2 0.5961
8.4 -9.2 0.3746
8.6 -9.2 0.3692
8.8 -9.2 0.5883
9 -9.2 0.8504
9.2 -9.2 0.9289
9.4 -9.2 0.7427
9.6 -9.2 0.4303
9.8 -9.2 0.2413
10 -9.2 0.3301
-10 -9 0.8104
-9.8 -9 0.5375
-9.6 -9 0.3392
-9.4 -9 0.38
-9.2 -9 0.6293
-9 -9 0.8785
-8.8 -9 0.9101
-8.6 -9 0.6814
-8.4 -9 0.367
-8.2 -9 0.2191
-8 -9 0.3582
-7.8 -9 0.6673
-7.6 -9 0.8837
-7.4 -9 0.8154
-7.2 -9 0.5036
-7 -9 0.1937
-6.8 -9 0.1344
-6.6 -9 0.3701
-6.4 -9 0.7003
-6.2 -9 0.8432
-6 -9 0.6689
-5.8 -9 0.3096
-5.6 -9 0.0523
-5.4 -9 0.1019
-5.2 -9 0.4106
-5 -9 0.7163
-4.8 -9 0.7589
-4.6 -9 0.4955
-4.4 -9 0.136
-4.2 -9 -0.0304
-4 -9 0.1256
-3.8 -9 0.4676
-3.6 -9 0.7075
-3.4 -9 0.644
-3.2 -9 0.3275
-3 -9 0.0157
-2.8 -9 -0.0404
-2.6 -9 0.1974
-2.4 -9 0.5264
-2.2 -9 0.6735
-2 -9 0.5205
-1.8 -9 0.1973
-1.6 -9 -0.0297
-1.4 -9 0.0208
-1.2 -9 0.2997
-1 -9 0.5738
-0.8 -9 0.6219
-0.6 -9 0.4143
-0.4 -9 0.1306
-0.2 -9 0.0057
0 -9 0.1368
0.2 -9 0.41
0.4 -9 0.6023
0.6 -9 0.5671
0.8 -9 0.3494
1 -9 0.1395
1.2 -9 0.1109
1.4 -9 0.2812
1.6 -9 0.5074
1.8 -9 0.6115
2 -9 0.5265
2.2 -9 0.342
2.4 -9 0.2205
2.6 -9 0.2606
2.8 -9 0.4235
3 -9 0.5764
3.2 -9 0.6082
3.4 -9 0.5159
3.6 -9 0.3957
3.8 -9 0.354
4 -9 0.4209
4.2 -9 0.5363
4.4 -9 0.6111
4.6 -9 0.6035
4.8 -9 0.5446
5 -9 0.5
5.2 -9 0.5089
5.4 -9 0.5568
5.6 -9 0.6008
5.8 -9 0.6148
6 -9 0.6094
6.2 -9 0.6122
6.4 -9 0.632
6.6 -9 0.649
6.8 -9 0.6401
7 -9 0.6108
7.2 -9 0.5983
7.4 -9 0.6345
7.6 -9 0.7075
7.8 -9 0.7607
8 -9 0.7414
8.2 -9 0.6549
8.4 -9 0.5728
8.6 -9 0.5762
8.8 -9 0.6806
9 -9 0.8101
9.2 -9 0.8541
9.4 -9 0.763
9.6 -9 0.6013
9.8 -9 0.5036
10 -9 0.5623
-10 -8.8 0.7402
-9.8 -8.8 0.6372
-9.6 -8.8 0.5582
-9.4 -8.8 0.5828
-9.2 -8.8 0.7079
-9 -8.8 0.8376
-8.8 -8.8 0.8582
-8.6 -8.8 0.7387
-8.4 -8.8 0.5683
-8.2 -8.8 0.4903
-8 -8.8 0.5812
-7.8 -8.8 0.7764
-7.6 -8.8 0.914
-7.4 -8.8 0.8681
-7.2 -8.8 0.6608
-7 -8.8 0.4545
-6.8 -8.8 0.4218
-6.6 -8.8 0.5973
-6.4 -8.8 0.8393
-6.2 -8.8 0.9404
-6 -8.8 0.8013
-5.8 -8.8 0.5213
-5.6 -8.8 0.3235
-5.4 -8.8 0.3719
-5.2 -8.8 0.6287
-5 -8.8 0.8787
-4.8 -8.8 0.9033
-4.6 -8.8 0.6658
-4.4 -8.8 0.348
-4.2 -8.8 0.2051
-4 -8.8 0.3529
-3.8 -8.8 0.6666
-3.6 -8.8 0.8796
-3.4 -8.8 0.8026
-3.2 -8.8 0.4845
-3 -8.8 0.1761
-2.8 -8.8 0.1247
-2.6 -8.8 0.3679
-2.4 -8.8 0.6987
-2.2 -8.8 0.8348
-2 -8.8 0.6524
-1.8 -8.8 0.2909
-1.6 -8.8 0.0393
-1.4 -8.8 0.0978
-1.2 -8.8 0.4109
-1 -8.8 0.7131
-0.8 -8.8 0.7474
-0.6 -8.8 0.4786
-0.4 -8.8 0.1217
-0.2 -8.8 -0.0362
0 -8.8 0.1272
0.2 -8.8 0.4695
0.4 -8.8 0.7026
0.6 -8.8 0.6317
0.8 -8.8 0.3139
1 -8.8 0.0087
1.2 -8.8 -0.0383
1.4 -8.8 0.2037
1.6 -8.8 0.5287
1.8 -8.8 0.6676
2 -8.8 0.5099
2.2 -8.8 0.1901
2.4 -8.8 -0.028
2.6 -8.8 0.0299
2.8 -8.8 0.3086
3 -8.8 0.5756
3.2 -8.8 0.6163
3.4 -8.8 0.408
3.6 -8.8 0.1314
3.8 -8.8 0.0159
4 -8.8 0.1508
4.2 -8.8 0.4194
4.4 -8.8 0.6031
4.6 -8.8 0.5633
4.8 -8.8 0.3494
5 -8.8 0.1488
5.2 -8.8 0.1274
5.4 -8.8 0.2969
5.6 -8.8 0.5152
5.8 -8.8 0.6116
6 -8.8 0.526
6.2 -8.8 0.3489
6.4 -8.8 0.2366
6.6 -8.8 0.28
6.8 -8.8 0.4376
7 -8.8 0.5814
7.2 -8.8 0.6081
7.4 -8.8 0.5196
7.6 -8.8 0.4087
7.8 -8.8 0.3739
8 -8.8 0.4393
8.2 -8.8 0.5462
8.4 -8.8 0.6127
8.6 -8.8 0.6042
8.8 -8.8 0.5525
9 -8.8 0.517
9.2 -8.8 0.5287
9.4 -8.8 0.5707
9.6 -8.8 0.6049
9.8 -8.8 0.6134
10 -8.8 0.6115
-10 -8.6 0.4748
-9.8 -8.6 0.5694
-9.6 -8.6 0.6167
-9.4 -8.6 0.5996
-9.2 -8.6 0.5565
-9 -8.6 0.537
-8.8 -8.6 0.5564
-8.6 -8.6 0.5909
-8.4 -8.6 0.6103
-8.2 -8.6 0.6112
-8 -8.6 0.616
-7.8 -8.6 0.6415
-7.6 -8.6 0.6743
-7.4 -8.6 0.681
-7.2 -8.6 0.6467
-7 -8.6 0.6002
-6.8 -8.6 0.5943
-6.6 -8.6 0.655
-6.4 -8.6 0.7468
-6.2 -8.6 0.7939
-6 -8.6 0.7463
-5.8 -8.6 0.6335
-5.6 -8.6 0.5505
-5.4 -8.6 0.58
-5.2 -8.6 0.7138
-5 -8.6 0.8483
-4.8 -8.6 0.865
-4.6 -8.6 0.7359
-4.4 -8.6 0.5579
-4.2 -8.6 0.4805
-4 -8.6 0.5791
-3.8 -8.6 0.7818
-3.6 -8.6 0.9199
-3.4 -8.6 0.8665
-3.2 -8.6 0.6498
-3 -8.6 0.4399
-2.8 -8.6 0.412
-2.6 -8.6 0.5961
-2.4 -8.6 0.8426
-2.2 -8.6 0.9398
-2 -8.6 0.7915
-1.8 -8.6 0.5045
-1.6 -8.6 0.3078
-1.4 -8.6 0.3639
-1.2 -8.6 0.6281
-1 -8.6 0.8784
-0.8 -8.6 0.8958
