NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
0	-9.40690693863879E-6	1.1770360473857E-5	-6.61564917092158E-6	-8.76242084729395E-6	3.85339211642478E-6	-1.16261204361101E-5	-5.84545270582738E-6	-5.09804421931537E-6	1.79023925437635E-5	-4.24015410111756E-7	-3.50852667952028E-5	1.00421693858423E-5	4.14104853716385E-5	-1.46273029182626E-5	2.51063856571103E-5	6.24739536059449E-6	-3.02010723421542E-5	3.63216155649805E-5	1.00751763513905E-5	-2.35610085005716E-5	2.68951861807809E-5	-4.12554469115606E-5	1.43331501502058E-5	6.16050132964629E-5	-5.15387055719151E-5	-9.3500293718122E-6	3.07304524775356E-5	-3.19574834030643E-5	-1.00440009130721E-5	1.06159296308852E-5	-2.40888289707132E-5	1.51119861809789E-5	2.65079181275797E-6	-2.16269968838764E-5	1.66399020624745E-5	5.28909982414085E-6	-2.52074554789886E-6	-1.11097869003436E-5	-2.34926369447869E-5	-4.05293565964378E-6	3.56899729212726E-5
100	9.3752428181833E-6	1.64455320742439E-5	-9.66313649939247E-6	-8.69454348483368E-7	1.25486919477591E-5	-9.71513997502883E-6	-1.38933403606046E-5	7.49464420909239E-6	9.32272618878936E-6	-1.66906178886652E-5	4.11907080303178E-6	2.75553555181833E-5	-2.98777629290894E-5	1.14045524769712E-5	-5.86171100363489E-6	-4.74717607841197E-5	3.56014584121227E-5	6.8387815212136E-6	-3.62275909563622E-5	2.98556261059409E-5	-3.37372572609076E-5	9.66986915242572E-6	4.75689964290924E-5	-2.72144366042409E-5	-6.39282336757428E-6	4.73710565860621E-5	-4.33625433321197E-5	-2.49189392242278E-6	1.998745624485E-5	-1.99967140016955E-5	1.79362146815166E-5	2.50295784760621E-5	-1.718466018715E-5	-4.64168190939246E-6	-6.27907979121064E-6	-2.93598160969549E-6	1.72694616609106E-5	-1.11007749254531E-5	-1.60433448522409E-5	1.44522065393954E-5	-8.19481533636216E-6
200	1.34219148187687E-5	-2.16259562451707E-5	4.1473581811929E-6	1.7417223132102E-5	2.26662068283444E-5	3.14745200155654E-6	-5.28743730001922E-6	9.86739428967775E-6	-2.37818191306253E-5	-6.68654300807983E-6	9.82213508361714E-6	-1.60535640012313E-5	-4.97935298850406E-6	-1.63681980424435E-5	-1.84626311230495E-5	1.97398400964656E-5	9.35023209270806E-6	-1.8791426618201E-5	-6.86201827577679E-6	3.50382978652623E-6	6.07556541967775E-6	2.35862973930111E-5	-6.79423445032225E-6	-5.27588112365558E-6	1.04446865130111E-5	1.95579976666475E-5	-2.24556364515344E-5	5.4876961181626E-6	-1.51559542745647E-5	-6.17024212111012E-6	2.7151658962102E-5	-7.49446144335254E-6	2.65928089343534E-6	-1.61401125888071E-5	3.41096368937472E-6	-1.07528693291101E-5	2.74319494149593E-6	6.6396687551323E-6	1.03812950883444E-5	4.36554941998078E-6	-6.44910265577679E-6
300	-3.37109377791427E-6	2.23353204781463E-5	-4.58320241549003E-6	-5.13421246458093E-6	-1.50664356833851E-6	-2.22603273711264E-5	-1.20786676702149E-7	-1.90162630700518E-6	-7.70088318730821E-6	1.31581179952373E-5	-3.83327913065792E-7	2.70541220208574E-6	5.96404855481301E-6	-1.64570063912639E-6	-1.42246815197325E-5	1.16668708197828E-5	2.28345891960251E-5	2.77033851160329E-8	-7.94151047245972E-6	-1.46880740101567E-5	-1.23913981170052E-5	2.98531110363281E-5	-3.35171180870052E-5	-9.68418064033851E-6	2.41362867163282E-5	-6.59346893003548E-6	3.33235001517827E-5	2.48660829614797E-5	-4.08983146712476E-5	1.8594094282207E-5	7.79258156541906E-6	-8.80776424003547E-6	-4.8429943032476E-6	-2.005160278549E-5	9.5376280926918E-6	7.78593807420694E-6	-1.9542410055187E-5	-6.69351364155064E-6	3.41026147916615E-5	-1.30247754567022E-5	-7.17428905245972E-6
400	-2.27594554986549E-6	-6.19768441380488E-6	1.43504236125588E-5	1.54077629634679E-5	-4.37714370602897E-5	1.44128073692239E-6	3.38315253513466E-5	8.8666847210436E-6	-6.50669648925942E-6	1.3009159023286E-5	-4.1626523685017E-5	3.89883631013451E-6	1.41838047828618E-5	-1.30031837310776E-5	6.02162190831633E-6	1.27947561278315E-5	-1.04679862759261E-5	9.62576541316482E-6	-1.29073156444109E-5	-2.55395159821079E-5	4.14710706510436E-5	-7.53552213562307E-6	-4.06642840589564E-5	4.09927393077103E-5	-2.58877965562306E-6	-2.78450113219867E-5	4.88301343798315E-5	-2.34924914704715E-5	-1.66214658431988E-5	3.00519441102557E-5	-2.86413580065321E-5	-9.86048621198669E-6	7.42936192480119E-6	9.94563364255876E-6	2.66975557207406E-5	7.77457222255729E-7	-3.08785262071382E-5	1.33654179864982E-5	1.47085792197103E-5	-1.36507441486534E-5	-3.62655722441094E-6
500	-1.38755228813289E-5	3.2099408547317E-6	2.22121326810953E-5	-7.18227556799563E-6	-9.59201863175314E-6	3.6217273405459E-5	5.91035521988323E-6	-3.21500506304198E-5	5.00109425292772E-5	-3.25562279681774E-5	-1.69129984164804E-5	2.95045792986711E-5	-2.81404083486016E-5	-2.9144574222541E-5	3.28684433768529E-5	-1.97717020836319E-5	1.51567950126105E-5	4.36744468170141E-6	-4.15050385758743E-5	5.05645002864287E-5	4.0002091195802E-6	-4.97256334670865E-5	2.71768440095802E-5	2.00335611624686E-6	-1.30341519870865E-5	1.97081305665499E-5	-9.01328023163193E-6	-2.0338531341935E-5	3.02932262453378E-5	-4.10461900120768E-6	-1.87682773379956E-5	1.35760606565499E-5	-2.07760230066622E-5	1.50614515110953E-5	8.99045318927717E-6	3.74012297079233E-6	-1.84430651386016E-5	1.17741676550347E-5	-1.87097467117531E-5	-2.62793248011678E-6	2.00256486441256E-5
600	7.60279005453782E-6	-5.09999211806532E-6	8.85481012699719E-6	-1.15346408336685E-5	2.86576068347783E-6	1.0381534253288E-5	-1.76068303275236E-5	2.9052341234703E-5	-1.95360548912851E-5	-1.57485609671474E-5	4.72575335166862E-8	5.95684247324438E-6	3.0986004667585E-6	-2.1864147819873E-6	-4.31871753069504E-6	6.16768184188759E-6	-4.13336827111359E-6	-2.36006475130299E-5	2.43488987755052E-5	3.31742142513701E-6	-8.45325866415093E-6	1.92873712636384E-5	-7.04286345803347E-6	-2.82571190490731E-5	5.94140432021391E-6	1.93717382979159E-6	-1.06353423117272E-5	2.19860179725311E-5	-3.62792456097062E-6	2.08818447171626E-5	-1.1326529675457E-5	-1.76735190557895E-5	2.77572607452617E-5	1.22999701859007E-5	-7.3997079736657E-6	-6.31386715294934E-6	1.488461845947E-5	-1.63830074162327E-6	-7.98277434058414E-6	-8.08266550203675E-6	-4.47050064244638E-6
700	-4.29359996425573E-6	1.39307677180487E-6	-9.47293040183149E-6	1.76419554907761E-6	1.355113344532E-5	-2.41375796774679E-5	1.00243173695639E-6	8.55728570665336E-6	1.27030396863503E-5	-5.26299619110422E-6	4.98295320592749E-7	-5.33480458425573E-6	1.07162525684715E-5	3.00359469453214E-6	-6.83030986607391E-6	2.02597673134412E-5	1.22101850968367E-6	-4.8103840122543E-7	4.82510554119882E-6	-9.90762839649816E-6	-6.80112856334664E-6	2.11225972499867E-5	-1.50552700733466E-5	1.582459369332E-5	8.1402173299867E-6	-1.08005500363769E-5	-1.60622318345588E-5	2.21150346551382E-5	3.72812408241093E-6	-1.54591370413452E-6	-5.20915662092239E-6	-1.00251876263769E-5	6.17280691041094E-6	2.38083694281685E-5	-4.74333609364967E-6	1.15911088786548E-6	3.49701055847153E-6	1.15958727210791E-6	-1.858292939468E-5	-6.27259864304357E-6	-2.54034588388012E-5
800	1.5816071903793E-5	-1.13444826001463E-5	-4.22280343537827E-5	-1.23546868228736E-5	1.16310755333688E-5	-1.25474166494191E-5	1.64118987650052E-5	-1.39661636852979E-5	-1.56286828560089E-6	2.76176988369446E-5	3.52530192864154E-6	4.36732824379305E-6	2.43815899652033E-6	-1.09180193974191E-5	8.53118112197486E-6	1.73026534149002E-6	-3.69413156622676E-5	2.17109216268233E-5	1.57897180692476E-5	-3.21934233684494E-5	8.09796376470215E-6	5.28279478035472E-7	3.50772719470214E-6	7.13580652136882E-6	-3.98623264196452E-6	-1.17545126883282E-5	2.92752539349002E-6	-5.04839299681301E-6	1.56671481704597E-5	4.17071932391427E-6	5.68523100712639E-6	-1.28450101983281E-5	2.25180027384597E-5	-2.2784859537827E-6	1.31980161343991E-5	3.59407811591427E-6	-1.57651161347968E-6	1.75549808001567E-5	2.6718158333688E-6	-1.61758164749948E-5	-9.10554145075239E-6
900	2.32862007086622E-6	-3.37181762130732E-5	5.19494521329046E-6	1.55132174041996E-5	-2.0088871139558E-5	6.79643337654097E-7	4.29120635207834E-6	-2.06758014782247E-5	-8.03101809852771E-6	1.67876542240177E-5	1.01017729157147E-5	1.01307950308662E-5	3.2286936035935E-6	-9.41809361034589E-6	2.2831065709048E-5	-1.68125563314368E-5	-2.98655639519438E-6	1.36775761389653E-6	7.18748535632077E-6	-1.49388567013762E-5	1.10370064517753E-5	-6.01672093489135E-6	-6.87270499822469E-6	2.54879132844198E-6	-1.08523245489135E-6	3.65473829874501E-6	-1.63794320194368E-5	5.26441899026016E-6	8.32510505753289E-6	-1.13099788901256E-6	-4.69065400580044E-6	1.2964933388745E-5	-2.27608581944671E-5	1.17185884329047E-6	2.92712032147228E-6	1.55579749029874E-5	-7.53947042640651E-6	-5.33446017277015E-6	2.8740853820442E-5	8.1813785207834E-7	5.82666497632077E-6
