NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
1000	-3.97966365445009E-4	-0.0013226659648004	0.00341740054777017	-0.00247476791074406	-0.0012464755329657	0.00403596291681977	-0.0022831055810704	5.21488907418489E-4	8.00682308939329E-4	-0.00305097173543971	0.00327949254749273	5.67949093361389E-4	-0.00495531325042681	0.00409987442211071	4.61765188290438E-4	-0.00278336877868789	0.00198986041191085	-4.98513625237714E-4	-0.00159470133437261	0.00278700426718745	-9.95638197349179E-4	-0.00104250092843885	6.91527768949323E-4	-5.72406955336827E-5	7.11994022205558E-4	-4.89170387403499E-4	-0.00135028173439125	0.00131738690899233	8.8351842660046E-4	-0.00158227768249558	1.38081526272377E-4	7.6222922117302E-4	-3.03870013696232E-4	-1.09002069502823E-4	6.11685084759664E-4	-9.38252992077228E-4	8.63338738633772E-5	0.00114181271858791	-3.63090365160303E-4	-0.0010495964369023	5.82873272793313E-4
1100	3.1279316766912E-5	-4.96606078384436E-5	3.55719010097487E-5	3.32023155997359E-5	-8.64116786709377E-5	3.26263996406169E-5	-5.17389433334837E-6	-8.64523799993576E-6	6.38525748616838E-5	-7.72666856713823E-5	-3.39626120714911E-6	9.96252419934174E-5	-9.93970732626696E-5	-4.98604135605189E-6	4.97418198882879E-5	-4.04737806874505E-5	1.01519193068736E-5	3.85252010587078E-5	-5.0973082109786E-5	1.68483309580948E-5	2.26729197530894E-5	-1.24917431453422E-5	2.93997249858303E-6	-1.18418191300765E-5	9.23030048567136E-6	2.68554303580493E-5	-2.45930213738103E-5	-1.41845756618226E-5	2.96096839411803E-5	-1.72138181402229E-6	-1.31469383575921E-5	5.98409941165304E-6	3.1877404532253E-6	-9.58107919501078E-6	1.7091755268107E-5	-8.81941273866136E-9	-2.03095373023999E-5	5.92049256821218E-6	1.98114004200897E-5	-1.11420436261319E-5	-9.32273181978888E-6
1200	-0.0035608315895032	0.00289530394847453	0.00165389787287198	-0.00434530952058847	0.00261716909839428	-2.6224634479891E-4	-9.49413796703067E-4	0.00360377902700468	-0.00337510331017867	-8.25968582981444E-4	0.00574029226216335	-0.00431747405769405	-7.18472203923075E-4	0.00327110255987077	-0.00208650359441264	5.79516627911558E-4	0.00199962537118219	-0.00307002624353622	9.79891712410982E-4	0.00129539658460331	-7.06768055325066E-4	9.34008616890108E-5	-6.99790707994312E-4	4.65175922799585E-4	0.0016146776009855	-0.00138600359458647	-0.00101459107050625	0.00179378895270971	-1.1420078807632E-4	-8.54454884352313E-4	3.3410987378838E-4	1.58014964992165E-4	-7.06709918119814E-4	0.00102918384180639	-5.66038080459772E-5	-0.00128857715318443	3.44085024463537E-4	0.00118425578456709	-6.56381387262394E-4	-5.6712591426108E-4	1.26505730321325E-4
1300	0.00225281646002419	0.00131792021395424	-0.00416257523221492	0.00191247209588448	-3.25400613480458E-4	-0.00124340314695657	0.00308507583330191	-0.00304380385993464	-0.00125561060376352	0.00501290909451484	-0.00377466174292653	-0.00106993987357585	0.00281964645035137	-0.00191327361101483	2.12426696367077E-4	0.00176126432856175	-0.00286039796417865	6.1633608973385E-4	0.0011410884731524	-7.04450038814352E-4	-4.19915911086242E-5	-6.740554253233E-4	2.34758644273824E-4	0.00144754327919686	-0.00122346903857915	-0.00105404859015261	0.00153232570473353	-7.11757265700723E-5	-8.01864423685901E-4	2.63031966092217E-4	1.70445617919471E-4	-6.4904317274775E-4	9.06036146016499E-4	3.38070620384787E-5	-0.00112338449653735	2.74231193735068E-4	0.00115378697393546	-4.87817125957999E-4	-4.61541969291812E-4	1.81405249821048E-4	5.26838918841679E-4
1400	4.07816684291326E-4	-0.00115573106709204	6.13302628433269E-4	-3.95854058119726E-5	-3.14709179077362E-4	9.36703616288845E-4	-8.32591885422337E-4	-3.49477507146204E-4	0.00151560634058402	-0.00101752618133623	-2.95923451857405E-4	8.66029971184494E-4	-5.03855048382088E-4	7.68606716194498E-5	5.46082256448598E-4	-8.02035564438107E-4	2.07332698088872E-4	3.64507825679181E-4	-1.74350217473563E-4	3.77484063239057E-6	-1.76539997247221E-4	8.13899545036101E-5	4.38217491444813E-4	-3.29764299567267E-4	-3.05108759890914E-4	4.53414238784979E-4	-1.17510988641338E-5	-2.32105537927964E-4	7.53849897817068E-5	4.53589567093534E-5	-1.97045702971222E-4	2.52813795339823E-4	2.69288020050581E-6	-3.4292895240675E-4	6.05020590769255E-5	3.16525375213106E-4	-1.66671184277304E-4	-1.65036833875475E-4	1.98706135946576E-5	1.15945169006621E-4	2.76883287632628E-6
1500	0.00180492560665583	-9.9718574356305E-4	-1.25351578000442E-4	5.22627139124586E-4	-0.00163511182429129	0.00121480576113782	6.77660774886984E-4	-0.00259110101447972	0.00155516172046912	5.72099413132559E-4	-0.00151094408010839	7.44939655610794E-4	-4.96619688785957E-5	-0.00102148140003679	0.00129756443863627	-3.15792741145595E-4	-6.48863039050876E-4	2.49324564145086E-4	1.82770044900173E-6	2.41646809065496E-4	-1.03686052595169E-4	-7.57453470334641E-4	5.00961769388108E-4	5.44626342107868E-4	-7.35181391123754E-4	-3.45582681135888E-5	3.94785714566841E-4	-1.13192735692973E-4	-8.86881666858768E-5	3.3425304144937E-4	-3.97202316283785E-4	-3.00868066335759E-5	5.72755129156673E-4	-5.71576527336013E-5	-5.25087722600741E-4	2.62465563600586E-4	2.86033225320498E-4	-1.05438757381434E-5	-1.84150876180196E-4	-2.58126832698258E-7	1.21317574220549E-4
1600	-0.00155799636383278	1.47165649283018E-4	0.00119464602433367	-0.00257037831681661	0.00241862871526452	0.00141286414954702	-0.00432529825834726	0.00292241770269794	0.0012607489680283	-0.0024052196743743	0.00148716515454356	8.25212096447096E-5	-0.0016358878382848	0.00243667690003867	-4.2739370929706E-4	-0.00100665680788894	5.66128185910526E-4	1.23260061452406E-4	5.02691565176655E-4	-5.61505005074896E-5	-0.00124896249071148	9.33197458412694E-4	0.0010316700334875	-0.00122837721469455	-2.79911816005457E-5	7.20854563730846E-4	-1.86703829513704E-4	-1.49366825640126E-4	5.75249696501907E-4	-7.21686676789545E-4	-7.69236687256814E-5	9.58209064918766E-4	-1.47100396483364E-4	-9.81072721924801E-4	3.96686156248215E-4	4.19421816024451E-4	-1.1277307464516E-4	-4.26747131812111E-4	-1.15047712812807E-4	8.6846826473668E-5	-2.53233129986348E-4
1700	1.31300182139172E-6	3.06844985846705E-6	-2.07422318477504E-7	-1.29796082885896E-5	1.34274478089764E-5	-9.36161095224213E-6	-1.72969445690158E-5	1.30028301122025E-5	-2.00614143388669E-6	-2.53668885304018E-6	4.21460448069653E-6	7.21813552319043E-6	-5.93309409715819E-6	1.46508662909114E-6	3.03022904246748E-6	8.55216488557378E-7	2.1733517359529E-6	-7.86728237665119E-7	1.70254555927887E-6	4.73376585691693E-6	-2.37318399535244E-6	2.76345914309984E-6	-1.08200524728079E-6	3.03838559239246E-7	-1.53893334703357E-6	4.90287017247063E-7	2.23954024800228E-7	1.40562359115745E-6	-6.2565811514192E-7	-1.33686058625634E-8	1.26465936229123E-6	1.43480170772638E-8	-1.86594519070807E-6	-5.15440779313227E-7	2.50216968488397E-6	-4.39320808790991E-7	-1.50764582890149E-6	-1.00773620134102E-6	-1.06133551704222E-6	-1.40911449923937E-6	-6.24017020005725E-7
1800	-0.00111989384627197	0.00282834729831802	-0.00223179014865615	-0.00151624889736428	0.00458464640867309	-0.00268457950333383	-0.00145862244028074	0.00263184619378677	-0.00128510084959458	-2.06489565905532E-4	0.00190185662696452	-0.00237470878846335	3.68857812107353E-4	0.00116450451071712	-4.94301285188374E-4	-8.64808844243024E-5	-4.0726854560336E-4	-2.7530988036055E-5	0.00140430500808998	-8.27560787044986E-4	-0.00107290835763004	0.00126072799655895	1.71555321308118E-4	-7.51468882773608E-4	1.77309340349064E-4	2.09759637726912E-4	-5.92819953108369E-4	7.28234049212866E-4	1.14179699392803E-4	-0.0010029809354249	8.19365753237397E-5	0.00102391421601626	-3.90957612649028E-4	-4.82747773350574E-4	6.34642108535311E-5	4.02268324624945E-4	8.67856637896934E-5	-1.41077199228462E-4	1.99049243216547E-4	-1.10915368943519E-4	-1.34546907599377E-4
1900	0.00172754256654995	-0.00131701357731003	-0.00117516177021388	0.0028515360854699	-0.00152623145855049	-0.00110917922120033	0.00164269957479983	-7.34212819210061E-4	-3.02639187179262E-4	0.00122691477996331	-0.0014850839505841	1.08726519218229E-4	7.31841745481912E-4	-3.12792561803799E-4	-1.07016754849199E-4	-2.61750311052169E-4	-9.45222920117911E-5	8.77727396163097E-4	-4.58917698707105E-4	-7.542674808028E-4	7.34747858214802E-4	1.44999439686812E-4	-5.09064985588657E-4	6.4864599960697E-5	1.3555054890694E-4	-3.93848099007123E-4	4.10585881459239E-4	9.42047812334466E-5	-6.35724691276225E-4	-5.41503054139387E-6	6.43734452937627E-4	-2.27517732495447E-4	-3.23468696574948E-4	2.00552552206776E-5	2.51200287753892E-4	6.25379754139376E-5	-9.13954956232364E-5	1.18080519985773E-4	-4.9691014102911E-5	-9.66131172692413E-5	1.71282365391215E-4
