MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
9.89627	7104
9.9094	7176
9.92253	6682
9.93566	5866
9.94879	4891
9.96192	4212
9.97505	3675
9.98818	3565
10.00131	3427
10.01444	3366
10.02757	3383
10.0407	3391
10.05383	3464
10.06696	3424
10.08009	3600
10.09322	3747
10.10635	3916
10.11948	3920
10.13261	4080
10.14574	4069
10.15887	3925
10.172	3806
10.18513	3543
10.19826	3463
10.21139	3430
10.22452	3310
10.23765	3376
10.25078	3381
10.26391	3340
10.27704	3240
10.29017	3292
10.3033	3206
10.31643	3274
10.32956	3383
10.34269	3354
10.35582	3344
10.36896	3450
10.38209	3313
10.39522	3381
10.40835	3424
10.42148	3438
10.43461	3449
10.44774	3448
10.46087	3368
10.474	3600
10.48713	3561
10.50026	3552
10.51339	3466
10.52652	3640
10.53965	3777
10.55278	3787
10.56591	3891
10.57904	3795
10.59217	3794
10.6053	3885
10.61843	3926
10.63156	3977
10.64469	4165
10.65782	4404
10.67095	4478
10.68408	4322
10.69721	4424
10.71034	4436
10.72347	4664
10.7366	4723
10.74973	5022
10.76286	5494
10.77599	5985
10.78912	6879
10.80225	7698
10.81538	8487
10.82852	8988
10.84165	8840
10.85478	8250
10.86791	7094
10.88104	5698
10.89417	4522
10.9073	3927
10.92043	3623
10.93356	3363
10.94669	3388
10.95982	3285
10.97295	3184
10.98608	3092
10.99921	3107
11.01234	3153
11.02547	3033
11.0386	3162
11.05173	3089
11.06486	3133
11.07799	3105
11.09112	3087
11.10425	3082
11.11738	3118
11.13051	3015
11.14364	2989
11.15677	3027
11.1699	2994
11.18303	3034
11.19616	3113
11.20929	3043
11.22242	3011
11.23555	3019
11.24868	3151
11.26181	3049
11.27494	3097
11.28807	3110
11.30121	3057
11.31434	3127
11.32747	2970
11.3406	3067
11.35373	3097
11.36686	3011
11.37999	3113
11.39312	3120
11.40625	3146
11.41938	3059
11.43251	3201
11.44564	3046
11.45877	3272
11.4719	3124
11.48503	3162
11.49816	3265
11.51129	3183
11.52442	3197
11.53755	3304
11.55068	3221
11.56381	3313
11.57694	3324
11.59007	3253
11.6032	3134
11.61633	3068
11.62946	3087
11.64259	3046
11.65572	3156
11.66885	2994
11.68198	3036
11.69511	3018
11.70824	3099
11.72137	3113
11.7345	3215
11.74763	3205
11.76077	3180
11.7739	3320
11.78703	3286
11.80016	3155
11.81329	3169
11.82642	2983
11.83955	3017
11.85268	2958
11.86581	2996
11.87894	2947
11.89207	2832
11.9052	2982
11.91833	2955
11.93146	2923
11.94459	2896
11.95772	2950
11.97085	2854
11.98398	2848
11.99711	2957
12.01024	2979
12.02337	2968
12.0365	2924
12.04963	3000
12.06276	2893
12.07589	3009
12.08902	2923
12.10215	2919
12.11528	2962
12.12841	2901
12.14154	2872
12.15467	2924
12.1678	2809
12.18093	2962
12.19406	2956
12.20719	2951
12.22033	2906
12.23346	2901
12.24659	2916
12.25972	2914
12.27285	2930
12.28598	2899
12.29911	2902
12.31224	2923
12.32537	2868
12.3385	2961
12.35163	2899
12.36476	2927
12.37789	2876
12.39102	2887
12.40415	2891
12.41728	2871
12.43041	2842
12.44354	2952
12.45667	2832
12.4698	2931
12.48293	2879
12.49606	2897
12.50919	2862
12.52232	2871
12.53545	2702
12.54858	2902
12.56171	2847
12.57484	2860
12.58797	2861
12.6011	2887
12.61423	2873
12.62736	2866
12.64049	2766
12.65362	2925
12.66675	2877
12.67988	2948
12.69302	2869
12.70615	2748
12.71928	2877
12.73241	2841
12.74554	2854
12.75867	2848
12.7718	2908
12.78493	2856
12.79806	2768
12.81119	2916
12.82432	2934
12.83745	2933
12.85058	2877
12.86371	2908
12.87684	2838
12.88997	2942
12.9031	2988
12.91623	3025
12.92936	2973
12.94249	2919
12.95562	2967
12.96875	2949
12.98188	3067
12.99501	3003
13.00814	3020
13.02127	3106
13.0344	3127
13.04753	3163
13.06066	3255
13.07379	3292
13.08692	3336
13.10005	3463
13.11318	3476
13.12631	3533
13.13944	3682
13.15258	3541
13.16571	3568
13.17884	3542
13.19197	3384
13.2051	3307
13.21823	3386
13.23136	3362
13.24449	3423
13.25762	3522
13.27075	3570
13.28388	3664
13.29701	3827
13.31014	3858
13.32327	3966
13.3364	4001
13.34953	4354
13.36266	4570
13.37579	4950
13.38892	5080
13.40205	5679
13.41518	6075
13.42831	5978
13.44144	5633
13.45457	5337
13.4677	4834
13.48083	4389
13.49396	4075
13.50709	3809
13.52022	3640
13.53335	3510
13.54648	3397
13.55961	3223
13.57274	3216
13.58587	3085
13.599	3166
13.61214	3170
13.62527	3193
13.6384	3068
13.65153	3132
13.66466	3065
13.67779	3047
13.69092	3043
13.70405	3068
13.71718	3035
13.73031	3063
13.74344	2904
13.75657	3050
13.7697	3001
13.78283	3012
13.79596	3113
13.80909	3207
13.82222	3334
13.83535	3316
13.84848	3381
13.86161	3492
13.87474	3547
13.88787	3757
13.901	3791
13.91413	4005
13.92726	4258
13.94039	4530
13.95352	4456
13.96665	4326
13.97978	4112
13.99291	3898
14.00604	3443
14.01917	3275
14.0323	3057
14.04543	2947
14.05856	2972
14.07169	2842
14.08483	2922
14.09796	2824
14.11109	2793
14.12422	2854
14.13735	2900
14.15048	2963
14.16361	2935
14.17674	2917
14.18987	2919
14.203	2895
14.21613	2807
14.22926	2836
14.24239	2913
14.25552	2879
14.26865	2881
14.28178	2841
14.29491	2813
14.30804	2957
14.32117	2938
14.3343	2944
14.34743	3069
14.36056	3063
14.37369	3099
14.38682	3073
14.39995	3085
14.41308	3023
14.42621	3049
14.43934	3013
14.45247	2977
14.4656	3166
14.47873	3067
14.49186	3193
14.50499	3157
14.51812	3322
14.53125	3345
14.54439	3327
14.55752	3255
14.57065	3204
14.58378	3088
14.59691	3040
14.61004	2857
14.62317	2812
14.6363	2826
14.64943	2908
14.66256	2708
14.67569	2852
14.68882	2786
14.70195	2825
14.71508	2767
14.72821	2888
14.74134	2801
14.75447	2772
14.7676	2978
14.78073	2786
14.79386	2858
14.80699	2938
14.82012	2860
14.83325	2976
14.84638	3070
14.85951	3110
14.87264	3135
14.88577	3279
14.8989	3306
14.91203	3287
14.92516	3138
14.93829	3166
14.95142	3115
14.96455	3117
14.97768	3143
14.99081	3174
15.00394	3233
15.01708	3267
15.03021	3298
15.04334	3309
15.05647	3541
15.0696	3533
15.08273	3755
15.09586	4091
15.10899	4235
15.12212	4459
15.13525	4827
15.14838	5061
15.16151	4882
15.17464	4665
15.18777	4523
15.2009	4238
15.21403	3886
15.22716	3733
15.24029	3730
15.25342	3552
15.26655	3423
15.27968	3228
15.29281	3137
15.30594	2935
15.31907	2841
15.3322	2719
15.34533	2701
15.35846	2746
15.37159	2637
15.38472	2741
15.39785	2742
15.41098	2660
15.42411	2688
15.43724	2684
15.45037	2770
15.4635	2713
15.47664	2669
15.48977	2686
15.5029	2653
15.51603	2671
15.52916	2693
15.54229	2612
15.55542	2734
15.56855	2558
15.58168	2743
15.59481	2568
15.60794	2678
15.62107	2639
15.6342	2768
15.64733	2752
15.66046	2575
15.67359	2673
15.68672	2666
15.69985	2634
15.71298	2727
15.72611	2652
15.73924	2644
15.75237	2742
15.7655	2752
15.77863	2770
15.79176	2705
15.80489	2760
15.81802	2797
15.83115	2968
15.84428	2894
15.85741	2977
15.87054	3049
15.88367	3046
15.8968	3078
15.90993	3086
15.92306	3255
15.9362	3375
15.94933	3543
15.96246	3693
15.97559	3822
15.98872	3626
16.00185	3523
16.01498	3519
16.02811	3276
16.04124	3242
16.05437	3177
16.0675	3208
16.08063	3254
16.09376	3167
16.10689	3359
16.12002	3477
16.13315	3486
16.14628	3386
16.15941	3435
16.17254	3407
16.18567	3317
16.1988	3288
16.21193	3240
16.22506	3407
16.23819	3482
16.25132	3528
16.26445	3660
16.27758	3847
16.29071	3961
16.30384	3949
16.31697	3748
16.3301	3603
16.34323	3467
16.35636	3189
16.36949	3046
16.38262	2834
16.39575	2785
16.40889	2739
16.42202	2677
16.43515	2637
16.44828	2671
16.46141	2645
16.47454	2603
16.48767	2666
16.5008	2664
16.51393	2641
16.52706	2607
16.54019	2688
16.55332	2652
16.56645	2675
16.57958	2640
16.59271	2593
16.60584	2703
16.61897	2588
16.6321	2585
16.64523	2673
16.65836	2634
16.67149	2689
16.68462	2614
16.69775	2680
16.71088	2704
16.72401	2619
16.73714	2690
