MUV-20a as-synthesised	
2 q(deg.)	Intenisty (a. u.)
8.59637	3461
8.6095	3414
8.62263	3483
8.63576	3439
8.64889	3487
8.66202	3507
8.67515	3507
8.68828	3412
8.70141	3486
8.71454	3506
8.72767	3415
8.7408	3390
8.75393	3421
8.76706	3692
8.78019	3437
8.79332	3438
8.80645	3554
8.81958	3524
8.83271	3394
8.84584	3418
8.85897	3458
8.8721	3404
8.88523	3421
8.89836	3571
8.91149	3560
8.92462	3441
8.93775	3530
8.95088	3516
8.96401	3475
8.97715	3567
8.99028	3589
9.00341	3614
9.01654	3640
9.02967	3699
9.0428	3625
9.05593	3605
9.06906	3651
9.08219	3750
9.09532	3772
9.10845	3630
9.12158	3730
9.13471	3732
9.14784	3595
9.16097	3663
9.1741	3538
9.18723	3471
9.20036	3398
9.21349	3526
9.22662	3319
9.23975	3420
9.25288	3377
9.26601	3469
9.27914	3388
9.29227	3405
9.3054	3374
9.31853	3328
9.33166	3322
9.34479	3317
9.35792	3396
9.37105	3504
9.38418	3335
9.39731	3430
9.41044	3317
9.42357	3261
9.43671	3436
9.44984	3169
9.46297	3372
9.4761	3258
9.48923	3328
9.50236	3307
9.51549	3306
9.52862	3477
9.54175	3280
9.55488	3346
9.56801	3348
9.58114	3277
9.59427	3389
9.6074	3287
9.62053	3286
9.63366	3227
9.64679	3220
9.65992	3245
9.67305	3221
9.68618	3262
9.69931	3285
9.71244	3286
9.72557	3237
9.7387	3238
9.75183	3255
9.76496	3267
9.77809	3189
9.79122	3158
9.80435	3196
9.81748	3234
9.83061	3162
9.84374	3268
9.85687	3297
9.87	3341
9.88313	3145
9.89627	3302
9.9094	3178
9.92253	3213
9.93566	3178
9.94879	3285
9.96192	3125
9.97505	3175
9.98818	3255
10.00131	3144
10.01444	3223
10.02757	3157
10.0407	3353
10.05383	3155
10.06696	3093
10.08009	3247
10.09322	3206
10.10635	3247
10.11948	3205
10.13261	3199
10.14574	3234
10.15887	3278
10.172	3189
10.18513	3186
10.19826	3253
10.21139	3155
10.22452	3145
10.23765	3180
10.25078	3210
10.26391	3180
10.27704	3046
10.29017	3230
10.3033	3167
10.31643	3141
10.32956	3145
10.34269	3116
10.35582	3131
10.36896	3196
10.38209	3144
10.39522	3084
10.40835	3128
10.42148	3129
10.43461	3115
10.44774	3146
10.46087	3151
10.474	3071
10.48713	3114
10.50026	3060
10.51339	3018
10.52652	3161
10.53965	3142
10.55278	3068
10.56591	3198
10.57904	3164
10.59217	3084
10.6053	3094
10.61843	3090
10.63156	3148
10.64469	3133
10.65782	3033
10.67095	3069
10.68408	3041
10.69721	3055
10.71034	3102
10.72347	3024
10.7366	3061
10.74973	3083
10.76286	3039
10.77599	3070
10.78912	3094
10.80225	3055
10.81538	3076
10.82852	3019
10.84165	3035
10.85478	3009
10.86791	3046
10.88104	3062
10.89417	3046
10.9073	3075
10.92043	2981
10.93356	3052
10.94669	2971
10.95982	3105
10.97295	2983
10.98608	2979
10.99921	3046
11.01234	3064
11.02547	3109
11.0386	3013
11.05173	3018
11.06486	3039
11.07799	3117
11.09112	3109
11.10425	3035
11.11738	3033
11.13051	3046
11.14364	2937
11.15677	2937
11.1699	3054
11.18303	3042
11.19616	2987
11.20929	2988
11.22242	3066
11.23555	3005
11.24868	3109
11.26181	2998
11.27494	2927
11.28807	3020
11.30121	3050
11.31434	2961
11.32747	3038
11.3406	3091
11.35373	3022
11.36686	3002
11.37999	3071
11.39312	2929
11.40625	2883
11.41938	3004
11.43251	2994
11.44564	2885
11.45877	3023
11.4719	2960
11.48503	3001
11.49816	2977
11.51129	2960
11.52442	3026
11.53755	3015
11.55068	3088
11.56381	3034
11.57694	2879
11.59007	2993
11.6032	2967
11.61633	2864
11.62946	3007
11.64259	2964
11.65572	2994
11.66885	2947
11.68198	2935
11.69511	3000
11.70824	3018
11.72137	2998
11.7345	2944
11.74763	2862
11.76077	2981
11.7739	2946
11.78703	3073
11.80016	3035
11.81329	3084
11.82642	2940
11.83955	2988
11.85268	2970
11.86581	2939
11.87894	2984
11.89207	2965
11.9052	3041
11.91833	3014
11.93146	2946
11.94459	2944
11.95772	2979
11.97085	3030
11.98398	3063
11.99711	2953
12.01024	2964
12.02337	2954
12.0365	3024
12.04963	3087
12.06276	2956
12.07589	3144
12.08902	3054
12.10215	3049
12.11528	3148
12.12841	3180
12.14154	3177
12.15467	3185
12.1678	3130
12.18093	3162
12.19406	3060
12.20719	3063
12.22033	3090
12.23346	2942
12.24659	2993
12.25972	2968
12.27285	3044
12.28598	2895
12.29911	2950
12.31224	2997
12.32537	2893
12.3385	2824
12.35163	3018
12.36476	2994
12.37789	2886
12.39102	2969
12.40415	3072
12.41728	2995
12.43041	2969
12.44354	2935
12.45667	3108
12.4698	2978
12.48293	2892
12.49606	2916
12.50919	2876
12.52232	2920
12.53545	2893
12.54858	2834
12.56171	2848
12.57484	2828
12.58797	2875
12.6011	2889
12.61423	2895
12.62736	2934
12.64049	2888
12.65362	2851
12.66675	2825
12.67988	2940
12.69302	2852
12.70615	2962
12.71928	2859
12.73241	2881
12.74554	2944
12.75867	3037
12.7718	3029
12.78493	3016
12.79806	2994
12.81119	3067
12.82432	3074
12.83745	2998
12.85058	3075
12.86371	3031
12.87684	3107
12.88997	3192
12.9031	3173
12.91623	3112
12.92936	3215
12.94249	3372
12.95562	3292
12.96875	3371
12.98188	3281
12.99501	3320
13.00814	3467
13.02127	3389
13.0344	3611
13.04753	3660
13.06066	3726
13.07379	3853
13.08692	3747
13.10005	3804
13.11318	3720
13.12631	3795
13.13944	3757
13.15258	3448
13.16571	3451
13.17884	3173
13.19197	3226
13.2051	3149
13.21823	3167
13.23136	3085
13.24449	3110
13.25762	3095
13.27075	3023
13.28388	3153
13.29701	3200
13.31014	3148
13.32327	3198
13.3364	3325
13.34953	3214
13.36266	3290
13.37579	3340
13.38892	3296
13.40205	3268
13.41518	3398
13.42831	3336
13.44144	3234
13.45457	3162
13.4677	3143
13.48083	2963
13.49396	3093
13.50709	2916
13.52022	2875
13.53335	2933
13.54648	2891
13.55961	2814
13.57274	2899
13.58587	2884
13.599	2878
13.61214	2916
13.62527	2803
13.6384	2860
13.65153	2795
13.66466	2834
13.67779	2802
13.69092	2735
13.70405	2745
13.71718	2768
13.73031	2888
13.74344	2762
13.75657	2913
13.7697	2774
13.78283	2828
13.79596	2802
13.80909	2767
13.82222	2736
13.83535	2835
13.84848	2719
13.86161	2723
13.87474	2809
13.88787	2662
13.901	2790
13.91413	2775
13.92726	2737
13.94039	2734
13.95352	2733
13.96665	2694
13.97978	2825
13.99291	2759
14.00604	2844
14.01917	2712
14.0323	2710
14.04543	2733
14.05856	2725
14.07169	2827
14.08483	2699
14.09796	2719
14.11109	2760
14.12422	2728
14.13735	2754
14.15048	2772
14.16361	2708
14.17674	2749
14.18987	2709
14.203	2710
14.21613	2820
14.22926	2732
14.24239	2734
14.25552	2711
14.26865	2762
14.28178	2830
14.29491	2794
14.30804	2810
14.32117	2776
14.3343	2894
14.34743	2751
14.36056	2850
14.37369	2845
14.38682	2845
14.39995	2833
14.41308	2859
14.42621	2858
14.43934	2937
14.45247	2782
14.4656	2852
14.47873	2813
14.49186	2824
14.50499	2766
14.51812	2705
14.53125	2748
14.54439	2718
14.55752	2712
14.57065	2878
14.58378	2714
14.59691	2792
14.61004	2710
14.62317	2802
14.6363	2699
14.64943	2795
14.66256	2780
14.67569	2822
14.68882	2646
14.70195	2709
14.71508	2722
14.72821	2667
14.74134	2758
14.75447	2743
14.7676	2785
14.78073	2822
14.79386	2748
14.80699	2771
14.82012	2804
14.83325	2800
14.84638	2807
14.85951	2858
14.87264	2854
14.88577	2783
14.8989	2873
14.91203	2805
14.92516	2878
14.93829	2912
14.95142	2860
14.96455	2945
14.97768	2987
14.99081	2990
15.00394	3031
15.01708	2971
15.03021	3022
15.04334	3058
15.05647	3126
15.0696	3177
15.08273	3277
15.09586	3313
15.10899	3283
15.12212	3564
15.13525	3442
15.14838	3528
15.16151	3584
15.17464	3421
15.18777	3473
15.2009	3280
15.21403	3174
15.22716	3179
15.24029	3036
15.25342	3109
15.26655	2947
15.27968	2958
15.29281	2966
15.30594	2864
15.31907	3027
15.3322	3019
15.34533	3114
15.35846	2997
15.37159	3132
15.38472	3210
15.39785	3050
15.41098	3135
15.42411	3130
15.43724	3230
15.45037	3137
15.4635	3289
15.47664	3391
15.48977	3379
15.5029	3502
15.51603	3576
15.52916	3574
15.54229	3754
15.55542	3696
15.56855	3860
15.58168	4020
15.59481	4116
15.60794	4227
15.62107	4290
15.6342	4282
15.64733	4169
15.66046	4033
15.67359	3673
15.68672	3434
15.69985	3265
15.71298	3087
15.72611	2948
15.73924	2941
15.75237	2947
15.7655	2955
15.77863	2872
15.79176	2916
15.80489	2938
15.81802	2836
15.83115	2979
15.84428	2928
15.85741	2902
15.87054	2915
15.88367	2950
15.8968	2898
15.90993	3063
15.92306	2890
15.9362	2875
15.94933	2952
15.96246	2902
15.97559	2818
15.98872	2770
16.00185	2840
16.01498	2757
16.02811	2860
16.04124	2801
16.05437	2833
16.0675	2825
16.08063	2735
16.09376	2794
16.10689	2704
16.12002	2727
16.13315	2734
16.14628	2817
16.15941	2801
16.17254	2748
16.18567	2751
16.1988	2715
16.21193	2805
16.22506	2782
16.23819	2799
16.25132	2736
16.26445	2705
16.27758	2695
16.29071	2773
16.30384	2749
16.31697	2708
16.3301	2807
16.34323	2742
16.35636	2730
16.36949	2717
16.38262	2812
16.39575	2803
16.40889	2830
16.42202	2671
16.43515	2816
16.44828	2802
16.46141	2779
16.47454	2781
16.48767	2748
16.5008	2705
16.51393	2762
16.52706	2691
16.54019	2734
16.55332	2766
16.56645	2622
16.57958	2722
16.59271	2789
16.60584	2775
16.61897	2659
16.6321	2722
16.64523	2680
16.65836	2638
16.67149	2877
16.68462	2725
16.69775	2784
16.71088	2711
16.72401	2901
16.73714	2765
16.75027	2793
16.7634	2851
16.77653	2863
16.78966	2852
16.80279	2787
16.81592	2910
16.82905	2751
16.84218	2823
16.85531	2913
16.86845	2982
16.88158	2884
16.89471	3090
16.90784	3087
16.92097	3061
16.9341	3259
16.94723	3187
16.96036	3316
16.97349	3346
16.98662	3174
16.99975	3179
17.01288	3123
17.02601	3076
17.03914	2967
17.05227	3078
17.0654	3066
17.07853	2918
17.09166	2966
17.10479	2905
17.11792	3052
17.13105	2943
17.14418	3035
17.15731	3115
17.17044	3202
17.18357	3229
17.1967	3297
17.20983	3331
17.22296	3380
17.23609	3332
17.24922	3268
17.26235	3269
17.27548	3224
17.28861	3200
17.30174	3111
17.31487	2955
17.32801	2929
17.34114	2926
17.35427	2815
17.3674	2919
17.38053	2787
17.39366	2871
17.40679	2756
17.41992	2716
17.43305	2836
17.44618	2847
17.45931	2705
17.47244	2874
17.48557	2715
17.4987	2855
17.51183	2731
17.52496	2681
17.53809	2833
17.55122	2773
17.56435	2732
17.57748	2780
17.59061	2775
17.60374	2756
17.61687	2898
17.63	2891
17.64313	2915
17.65626	2838
17.66939	2922
17.68252	2914
17.69565	2889
17.70878	2907
17.72191	2861
17.73504	2919
17.74817	2967
17.7613	2909
17.77443	2908
17.78756	2925
17.8007	2873
17.81383	2918
17.82696	2917
17.84009	2872
17.85322	2807
17.86635	2835
17.87948	2758
17.89261	2729
17.90574	2768
17.91887	2782
17.932	2696
17.94513	2684
17.95826	2660
17.97139	2695
17.98452	2631
17.99765	2663
18.01078	2630
18.02391	2695
18.03704	2679
18.05017	2784
18.0633	2568
18.07643	2612
18.08956	2579
18.10269	2613
18.11582	2648
18.12895	2667
18.14208	2664
18.15521	2689
18.16834	2661
18.18147	2620
18.1946	2651
18.20773	2648
18.22086	2660
18.23399	2741
18.24712	2790
18.26026	2797
18.27339	2814
18.28652	2720
18.29965	2808
18.31278	2921
18.32591	2871
18.33904	2726
18.35217	2784
18.3653	2812
18.37843	2782
18.39156	2832
18.40469	2859
18.41782	2865
18.43095	2838
18.44408	2865
18.45721	2891
18.47034	2895
18.48347	2825
18.4966	2917
18.50973	2873
18.52286	2811
18.53599	2843
18.54912	2916
18.56225	2892
18.57538	2763
18.58851	2842
18.60164	2833
18.61477	2813
18.6279	2810
18.64103	2846
18.65416	2849
18.66729	2811
18.68042	2910
18.69355	2863
18.70668	2971
18.71981	2924
18.73295	2986
18.74608	3128
18.75921	3077
18.77234	3161
18.78547	3184
18.7986	3263
18.81173	3165
18.82486	3169
18.83799	3098
18.85112	3071
18.86425	3027
18.87738	3019
18.89051	2811
18.90364	2684
18.91677	2881
18.9299	2794
18.94303	2685
18.95616	2772
18.96929	2701
18.98242	2765
18.99555	2777
19.00868	2726
19.02181	2671
19.03494	2744
19.04807	2686
19.0612	2706
19.07433	2850
19.08746	2654
19.10059	2773
19.11372	2771
19.12685	2705
19.13998	2698
19.15311	2674
19.16624	2781
19.17937	2638
19.19251	2691
19.20564	2662
19.21877	2719
19.2319	2727
19.24503	2661
19.25816	2704
19.27129	2649
19.28442	2717
19.29755	2750
19.31068	2703
19.32381	2739
19.33694	2748
19.35007	2576
19.3632	2684
19.37633	2798
19.38946	2686
19.40259	2701
19.41572	2739
19.42885	2711
19.44198	2686
19.45511	2705
19.46824	2747
19.48137	2718
19.4945	2803
19.50763	2719
19.52076	2718
19.53389	2797
19.54702	2814
19.56015	2685
19.57328	2747
19.58641	2805
19.59954	2784
19.61267	2730
19.6258	2659
19.63893	2688
19.65207	2638
19.6652	2756
19.67833	2602
19.69146	2711
19.70459	2718
19.71772	2655
19.73085	2710
19.74398	2667
19.75711	2741
19.77024	2778
19.78337	2644
19.7965	2757
19.80963	2677
19.82276	2756
19.83589	2683
19.84902	2757
19.86215	2683
19.87528	2702
19.88841	2774
19.90154	2705
19.91467	2709
19.9278	2708
19.94093	2720
19.95406	2673
19.96719	2717
19.98032	2700
19.99345	2786
