CH3Cl	
2 q(deg.)	Intenisty (a. u.)
15.0696	2444
15.08273	2402
15.09586	2449
15.10899	2492
15.12212	2435
15.13525	2380
15.14838	2497
15.16151	2403
15.17464	2432
15.18777	2419
15.2009	2412
15.21403	2377
15.22716	2501
15.24029	2405
15.25342	2375
15.26655	2366
15.27968	2341
15.29281	2312
15.30594	2433
15.31907	2410
15.3322	2498
15.34533	2364
15.35846	2369
15.37159	2386
15.38472	2326
15.39785	2518
15.41098	2403
15.42411	2455
15.43724	2454
15.45037	2464
15.4635	2473
15.47664	2440
15.48977	2377
15.5029	2393
15.51603	2436
15.52916	2466
15.54229	2533
15.55542	2477
15.56855	2429
15.58168	2493
15.59481	2405
15.60794	2420
15.62107	2358
15.6342	2452
15.64733	2431
15.66046	2437
15.67359	2421
15.68672	2394
15.69985	2444
15.71298	2451
15.72611	2359
15.73924	2448
15.75237	2473
15.7655	2407
15.77863	2350
15.79176	2443
15.80489	2429
15.81802	2414
15.83115	2423
15.84428	2329
15.85741	2397
15.87054	2371
15.88367	2335
15.8968	2509
15.90993	2449
15.92306	2405
15.9362	2362
15.94933	2295
15.96246	2361
15.97559	2287
15.98872	2299
16.00185	2418
16.01498	2398
16.02811	2420
16.04124	2372
16.05437	2403
16.0675	2420
16.08063	2405
16.09376	2338
16.10689	2447
16.12002	2395
16.13315	2439
16.14628	2408
16.15941	2449
16.17254	2353
16.18567	2499
16.1988	2426
16.21193	2387
16.22506	2334
16.23819	2500
16.25132	2458
16.26445	2441
16.27758	2360
16.29071	2383
16.30384	2363
16.31697	2357
16.3301	2371
16.34323	2362
16.35636	2474
16.36949	2344
16.38262	2342
16.39575	2460
16.40889	2340
16.42202	2319
16.43515	2368
16.44828	2452
16.46141	2359
16.47454	2345
16.48767	2351
16.5008	2234
16.51393	2432
16.52706	2361
16.54019	2457
16.55332	2403
16.56645	2416
16.57958	2349
16.59271	2316
16.60584	2373
16.61897	2387
16.6321	2373
16.64523	2419
16.65836	2434
16.67149	2384
16.68462	2388
16.69775	2374
16.71088	2458
16.72401	2421
16.73714	2510
16.75027	2460
16.7634	2488
16.77653	2518
16.78966	2411
16.80279	2421
16.81592	2506
16.82905	2456
16.84218	2453
16.85531	2450
16.86845	2531
16.88158	2576
16.89471	2487
16.90784	2508
16.92097	2599
16.9341	2474
16.94723	2586
16.96036	2525
16.97349	2544
16.98662	2483
16.99975	2517
17.01288	2465
17.02601	2543
17.03914	2524
17.05227	2613
17.0654	2565
17.07853	2626
17.09166	2507
17.10479	2545
17.11792	2642
17.13105	2605
17.14418	2627
17.15731	2649
17.17044	2726
17.18357	2703
17.1967	2745
17.20983	2729
17.22296	2735
17.23609	2706
17.24922	2744
17.26235	2707
17.27548	2693
