Hexane	
2 q(deg.)	Intenisty (a. u.)
15.47664	2817
15.48977	2788
15.5029	2779
15.51603	2750
15.52916	2821
15.54229	2884
15.55542	2878
15.56855	2798
15.58168	2718
15.59481	2728
15.60794	2801
15.62107	2753
15.6342	2863
15.64733	2918
15.66046	2790
15.67359	2853
15.68672	2843
15.69985	2863
15.71298	2771
15.72611	2832
15.73924	2923
15.75237	2746
15.7655	2852
15.77863	2832
15.79176	2696
15.80489	2814
15.81802	2898
15.83115	2684
15.84428	2742
15.85741	2749
15.87054	2821
15.88367	2878
15.8968	2790
15.90993	2857
15.92306	2884
15.9362	2822
15.94933	2963
15.96246	2861
15.97559	2917
15.98872	3020
16.00185	2981
16.01498	2983
16.02811	3062
16.04124	3109
16.05437	3055
16.0675	3152
16.08063	3184
16.09376	3110
16.10689	3040
16.12002	3119
16.13315	3088
16.14628	3082
16.15941	3141
16.17254	3069
16.18567	2981
16.1988	2921
16.21193	2910
16.22506	2942
16.23819	2904
16.25132	2873
16.26445	2865
16.27758	2898
16.29071	2727
16.30384	2912
16.31697	2829
16.3301	2898
16.34323	2809
16.35636	2851
16.36949	2767
16.38262	2868
16.39575	2783
16.40889	2822
16.42202	2812
16.43515	2910
16.44828	2830
16.46141	2752
16.47454	2722
16.48767	2818
16.5008	2718
16.51393	2731
16.52706	2821
16.54019	2684
16.55332	2767
16.56645	2809
16.57958	2752
16.59271	2679
16.60584	2786
16.61897	2836
16.6321	2852
16.64523	2722
16.65836	2803
16.67149	2790
16.68462	2712
16.69775	2688
16.71088	2707
16.72401	2769
16.73714	2817
16.75027	2820
16.7634	2828
16.77653	2847
16.78966	2815
16.80279	2805
16.81592	2781
16.82905	2935
16.84218	2802
16.85531	2769
16.86845	2794
16.88158	2900
16.89471	2933
16.90784	2823
16.92097	2789
16.9341	2830
16.94723	2726
16.96036	2800
16.97349	2881
16.98662	2878
16.99975	2820
17.01288	2898
17.02601	2808
17.03914	2814
17.05227	2722
17.0654	2812
17.07853	2769
17.09166	2773
17.10479	2748
17.11792	2795
17.13105	2803
17.14418	2781
17.15731	2914
17.17044	2814
17.18357	2758
17.1967	2786
17.20983	2838
17.22296	2853
17.23609	2872
17.24922	3013
17.26235	2981
17.27548	2933
17.28861	2986
17.30174	2939
17.31487	2973
17.32801	3042
17.34114	3007
17.35427	3053
17.3674	3125
17.38053	3112
17.39366	3041
17.40679	3241
17.41992	3263
17.43305	3297
17.44618	3297
17.45931	3218
17.47244	3286
17.48557	3262
17.4987	3228
17.51183	3163
17.52496	3291
17.53809	3114
17.55122	2904
17.56435	2831
17.57748	2909
17.59061	2828
17.60374	2949
17.61687	2848
17.63	2885
17.64313	2828
17.65626	2904
17.66939	2809
17.68252	2911
17.69565	2836
17.70878	2841
17.72191	2872
17.73504	2709
17.74817	2847
17.7613	2871
17.77443	2861
17.78756	2853
17.8007	2924
17.81383	2864
17.82696	3007
17.84009	2862
17.85322	2914
17.86635	2870
17.87948	2909
17.89261	2907
17.90574	2803
17.91887	2797
17.932	2930
17.94513	2896
17.95826	2854
17.97139	2907
17.98452	2840
17.99765	2828
18.01078	2815
18.02391	2851
18.03704	2782
18.05017	2920
18.0633	2824
18.07643	2852
18.08956	2922
18.10269	2861
18.11582	2839
18.12895	2882
18.14208	2898
18.15521	2902
18.16834	2930
18.18147	2806
18.1946	2827
18.20773	2834
18.22086	2857
18.23399	2893
18.24712	2923
18.26026	2939
18.27339	2959
18.28652	2876
18.29965	2952
18.31278	3007
18.32591	2808
18.33904	2950
18.35217	2929
18.3653	3071
18.37843	2886
18.39156	2956
18.40469	3013
18.41782	3131
18.43095	3157
18.44408	3101
18.45721	3143
18.47034	3174
18.48347	3044
18.4966	3052
18.50973	2983
18.52286	3048
18.53599	3065
18.54912	2961
18.56225	2958
18.57538	2985
18.58851	3061
18.60164	2888
18.61477	2771
18.6279	2819
18.64103	2885
18.65416	2799
18.66729	2841
18.68042	2825
18.69355	2883
18.70668	2819
18.71981	2918
18.73295	2909
18.74608	2827
18.75921	2855
18.77234	2895
18.78547	2828
18.7986	2847
18.81173	2834
18.82486	2882
18.83799	2905
18.85112	2783
18.86425	2937
18.87738	2939
18.89051	2979
18.90364	2933
18.91677	2841
18.9299	2924
18.94303	2894
18.95616	2758
18.96929	2928
18.98242	2921
18.99555	3007
19.00868	2949
19.02181	2881
19.03494	2993
19.04807	3040
19.0612	3012
19.07433	3039
19.08746	3133
19.10059	3062
19.11372	3097
19.12685	3260
19.13998	3267
19.15311	3232
19.16624	3422
19.17937	3393
19.19251	3513
19.20564	3627
19.21877	3678
19.2319	3874
19.24503	3826
19.25816	3844
19.27129	3895
19.28442	3911
19.29755	4024
19.31068	3831
19.32381	3854
19.33694	3871
19.35007	3905
19.3632	3946
19.37633	3839
19.38946	3783
19.40259	3910
19.41572	3852
19.42885	3764
19.44198	3721
19.45511	3750
19.46824	3739
19.48137	3539
19.4945	3462
19.50763	3488
19.52076	3403
19.53389	3318
19.54702	3241
19.56015	3270
19.57328	3314
19.58641	3185
19.59954	3106
19.61267	3078
19.6258	3012
19.63893	3077
19.65207	3036
19.6652	2910
19.67833	2988
19.69146	2992
19.70459	2996
19.71772	2962
19.73085	2942
19.74398	2883
19.75711	2780
19.77024	2918
19.78337	2911
19.7965	2804
19.80963	2928
19.82276	2941
19.83589	2810
19.84902	2844
19.86215	2895
