Identifier	matchCounts
ENSMUST00000132647	127
ENSMUST00000147480	173
ENSMUST00000128051	152
ENSMUST00000194347	2
ENSMUST00000027061	0
ENSMUST00000039046	0
ENSMUST00000191111	0
ENSMUST00000189301	0
ENSMUST00000190692	0
ENSMUST00000053266	2674
ENSMUST00000185296	2675
ENSMUST00000188112	521
ENSMUST00000191061	578
ENSMUST00000190421	530
ENSMUST00000189400	121
ENSMUST00000068880	120
ENSMUST00000167119	44
ENSMUST00000187651	44
ENSMUST00000160782	2
ENSMUST00000038447	7
ENSMUST00000037998	1155
ENSMUST00000187210	177
ENSMUST00000027065	91
ENSMUST00000027064	95
ENSMUST00000191648	0
ENSMUST00000027067	12
ENSMUST00000121676	10
ENSMUST00000124990	9
ENSMUST00000190711	0
ENSMUST00000088407	0
ENSMUST00000070223	0
ENSMUST00000147615	0
ENSMUST00000029667	75
ENSMUST00000115300	75
ENSMUST00000173058	30
ENSMUST00000174183	34
ENSMUST00000173404	34
ENSMUST00000115299	6
ENSMUST00000134505	0
ENSMUST00000192487	0
ENSMUST00000194737	0
ENSMUST00000081544	0
ENSMUST00000115273	0
ENSMUST00000097811	0
ENSMUST00000097810	0
ENSMUST00000097809	0
ENSMUST00000164877	0
ENSMUST00000185942	0
ENSMUST00000097808	0
ENSMUST00000218140	0
ENSMUST00000073179	0
ENSMUST00000193885	0
ENSMUST00000195365	0
ENSMUST00000027343	76
ENSMUST00000186064	43
ENSMUST00000188677	27
ENSMUST00000189537	0
ENSMUST00000144602	0
ENSMUST00000063663	0
ENSMUST00000140583	0
ENSMUST00000149737	612
ENSMUST00000027339	776
ENSMUST00000136506	127
ENSMUST00000129254	614
ENSMUST00000148710	382
ENSMUST00000141330	468
ENSMUST00000133398	467
ENSMUST00000027338	77
ENSMUST00000155767	53
ENSMUST00000192339	0
ENSMUST00000195143	0
ENSMUST00000187619	225
ENSMUST00000188712	660
ENSMUST00000187752	693
ENSMUST00000187369	695
ENSMUST00000186331	363
ENSMUST00000027337	722
ENSMUST00000185807	83
ENSMUST00000186999	365
ENSMUST00000185525	163
ENSMUST00000192408	0
ENSMUST00000054588	0
ENSMUST00000088349	0
ENSMUST00000124600	0
ENSMUST00000147902	0
ENSMUST00000144297	0
ENSMUST00000115244	0
ENSMUST00000051344	0
ENSMUST00000191471	519
ENSMUST00000186096	139
ENSMUST00000186190	93
ENSMUST00000095062	512
ENSMUST00000187468	102
ENSMUST00000190195	137
ENSMUST00000126626	3
ENSMUST00000146592	3
ENSMUST00000135518	3
ENSMUST00000151309	3
ENSMUST00000041838	3
ENSMUST00000153568	3
ENSMUST00000126096	4
ENSMUST00000154102	0
ENSMUST00000190202	0
ENSMUST00000134022	0
ENSMUST00000189254	0
ENSMUST00000193138	0
ENSMUST00000192443	0
ENSMUST00000192367	0
ENSMUST00000193392	0
ENSMUST00000193079	0
ENSMUST00000195128	0
ENSMUST00000192216	0
ENSMUST00000195543	0
ENSMUST00000194535	0
ENSMUST00000193573	0
ENSMUST00000194644	0
ENSMUST00000192614	0
ENSMUST00000191772	0
ENSMUST00000195723	0
ENSMUST00000192448	0
ENSMUST00000194923	0
ENSMUST00000195187	0
ENSMUST00000193912	0
ENSMUST00000195754	0
ENSMUST00000194343	0
ENSMUST00000097801	0
ENSMUST00000193585	0
ENSMUST00000059937	0
ENSMUST00000186733	2445
ENSMUST00000088310	2445
ENSMUST00000191329	1489
ENSMUST00000190190	85
ENSMUST00000187316	45
ENSMUST00000186105	260
ENSMUST00000191245	203
ENSMUST00000191064	166
ENSMUST00000188847	61
ENSMUST00000187600	29
ENSMUST00000185521	206
ENSMUST00000188780	147
ENSMUST00000187968	9
ENSMUST00000185604	4
ENSMUST00000195437	0
ENSMUST00000192050	8
ENSMUST00000232841	319
ENSMUST00000153681	196
ENSMUST00000130934	152
ENSMUST00000233506	318
ENSMUST00000027232	318
ENSMUST00000076587	198
ENSMUST00000238874	3
ENSMUST00000178317	0
ENSMUST00000233331	0
ENSMUST00000152491	0
ENSMUST00000187892	0
ENSMUST00000188605	0
ENSMUST00000127775	0
ENSMUST00000187659	0
ENSMUST00000135245	0
ENSMUST00000062560	0
ENSMUST00000161773	0
ENSMUST00000027230	0
ENSMUST00000027226	0
ENSMUST00000189878	0
ENSMUST00000188257	0
ENSMUST00000185666	0
ENSMUST00000186984	0
ENSMUST00000195178	0
ENSMUST00000192993	0
ENSMUST00000193099	0
ENSMUST00000195252	0
ENSMUST00000195761	0
ENSMUST00000171322	0
ENSMUST00000195241	0
ENSMUST00000194631	0
ENSMUST00000027312	799
ENSMUST00000189552	319
ENSMUST00000187353	1
ENSMUST00000192891	3
ENSMUST00000191779	2
ENSMUST00000191965	2
ENSMUST00000193126	0
ENSMUST00000195006	50
ENSMUST00000140354	158
ENSMUST00000088287	723
ENSMUST00000138024	724
ENSMUST00000135330	146
ENSMUST00000151482	227
ENSMUST00000115174	701
ENSMUST00000150593	454
ENSMUST00000122822	135
ENSMUST00000132066	337
ENSMUST00000044691	949
ENSMUST00000155484	262
ENSMUST00000187602	226
ENSMUST00000189741	70
ENSMUST00000195310	1
ENSMUST00000139143	658
ENSMUST00000019861	697
ENSMUST00000115167	147
ENSMUST00000151055	131
ENSMUST00000194656	175
ENSMUST00000130376	120
ENSMUST00000140163	62
ENSMUST00000044455	468
ENSMUST00000125723	39
ENSMUST00000115161	21
ENSMUST00000129464	22
ENSMUST00000062289	27
ENSMUST00000195350	6
ENSMUST00000126724	9
ENSMUST00000139700	3
ENSMUST00000195730	0
ENSMUST00000183034	6049
ENSMUST00000187486	606
ENSMUST00000182697	66
ENSMUST00000182314	66
ENSMUST00000183331	310
ENSMUST00000097786	5344
ENSMUST00000115104	6457
ENSMUST00000097785	6446
ENSMUST00000239001	53
ENSMUST00000182410	40
ENSMUST00000183006	48
ENSMUST00000183302	523
ENSMUST00000185897	1561
ENSMUST00000185269	5189
ENSMUST00000182335	139
ENSMUST00000189952	38
ENSMUST00000194192	1396
ENSMUST00000182018	2751
ENSMUST00000185736	151
ENSMUST00000183100	415
ENSMUST00000182507	402
ENSMUST00000193333	0
ENSMUST00000194178	2
ENSMUST00000194920	0
ENSMUST00000195223	0
ENSMUST00000042493	279
ENSMUST00000188583	274
ENSMUST00000027303	686
ENSMUST00000187077	34
ENSMUST00000137794	128
ENSMUST00000149962	328
ENSMUST00000134327	196
ENSMUST00000128086	71
ENSMUST00000136770	299
ENSMUST00000191000	27
ENSMUST00000185610	0
ENSMUST00000027302	15
ENSMUST00000190122	1
ENSMUST00000188884	1
ENSMUST00000186252	0
ENSMUST00000188972	10
ENSMUST00000188019	0
ENSMUST00000027299	0
ENSMUST00000191604	0
ENSMUST00000027298	0
ENSMUST00000115071	0
ENSMUST00000190790	0
ENSMUST00000047840	0
ENSMUST00000052670	0
ENSMUST00000159747	36
ENSMUST00000162599	27
ENSMUST00000159021	9
ENSMUST00000047664	34
ENSMUST00000162760	17
ENSMUST00000159059	4
ENSMUST00000160855	15
ENSMUST00000211073	0
ENSMUST00000167518	3799
ENSMUST00000047534	3799
ENSMUST00000170092	1252
ENSMUST00000185469	1242
ENSMUST00000191307	1090
ENSMUST00000185279	820
ENSMUST00000185231	791
ENSMUST00000140534	408
ENSMUST00000192924	0
ENSMUST00000156687	332
ENSMUST00000027297	1338
ENSMUST00000152654	191
ENSMUST00000191722	357
ENSMUST00000195698	0
ENSMUST00000088174	3789
ENSMUST00000194670	1866
ENSMUST00000046875	5098
ENSMUST00000173999	2202
ENSMUST00000174266	4850
ENSMUST00000173250	224
ENSMUST00000174224	762
ENSMUST00000173166	1539
ENSMUST00000173082	188
ENSMUST00000174716	1924
ENSMUST00000174142	534
ENSMUST00000172592	318
ENSMUST00000192159	88
ENSMUST00000056946	16
ENSMUST00000188666	2
ENSMUST00000126413	17
ENSMUST00000142319	3
ENSMUST00000150747	12
ENSMUST00000145179	17
ENSMUST00000124280	27
ENSMUST00000097778	44
ENSMUST00000116629	44
ENSMUST00000115031	44
ENSMUST00000115032	51
ENSMUST00000137906	50
ENSMUST00000192874	7
ENSMUST00000115029	47
ENSMUST00000140218	3
ENSMUST00000147123	14
ENSMUST00000141121	13
ENSMUST00000185912	1116
ENSMUST00000010597	1120
ENSMUST00000186470	695
ENSMUST00000188961	695
ENSMUST00000188528	111
ENSMUST00000185621	100
ENSMUST00000187628	67
ENSMUST00000185614	80
ENSMUST00000188957	7
ENSMUST00000179162	0
ENSMUST00000202030	0
ENSMUST00000140452	0
ENSMUST00000192969	17
ENSMUST00000125304	143
ENSMUST00000134594	120
ENSMUST00000115011	119
ENSMUST00000001171	118
ENSMUST00000152088	8
ENSMUST00000123583	41
ENSMUST00000193502	15
ENSMUST00000153128	328
ENSMUST00000192530	68
ENSMUST00000193157	2
ENSMUST00000001166	482
ENSMUST00000097776	482
ENSMUST00000154225	41
ENSMUST00000195264	20
ENSMUST00000135100	101
ENSMUST00000193083	74
ENSMUST00000054665	62
ENSMUST00000194853	47
ENSMUST00000193991	39
ENSMUST00000191849	89
ENSMUST00000207088	32
ENSMUST00000207843	70
ENSMUST00000001172	49
ENSMUST00000194894	23
ENSMUST00000207922	10
ENSMUST00000208690	17
ENSMUST00000208269	8
ENSMUST00000191677	681
ENSMUST00000191642	676
ENSMUST00000195620	675
ENSMUST00000114991	681
ENSMUST00000191785	143
ENSMUST00000195160	136
ENSMUST00000193382	31
ENSMUST00000195339	35
ENSMUST00000170295	1
ENSMUST00000193548	1
ENSMUST00000193763	1
ENSMUST00000194025	1
ENSMUST00000194839	1
ENSMUST00000193155	0
ENSMUST00000195729	0
ENSMUST00000114981	0
ENSMUST00000081180	1263
ENSMUST00000193210	1290
ENSMUST00000195151	1087
ENSMUST00000191790	1235
ENSMUST00000192859	1122
ENSMUST00000193235	1259
ENSMUST00000043951	2139
ENSMUST00000159675	129
ENSMUST00000162684	589
ENSMUST00000159448	774
ENSMUST00000160084	708
ENSMUST00000160043	491
ENSMUST00000162662	479
ENSMUST00000192873	0
ENSMUST00000208994	0
ENSMUST00000195374	0
ENSMUST00000193459	0
ENSMUST00000027291	0
ENSMUST00000185871	0
ENSMUST00000186624	0
ENSMUST00000190128	0
ENSMUST00000027290	4071
ENSMUST00000194563	4071
ENSMUST00000191381	1318
ENSMUST00000187917	143
ENSMUST00000189470	190
ENSMUST00000190442	305
ENSMUST00000186486	354
ENSMUST00000185964	143
ENSMUST00000192008	0
ENSMUST00000194249	0
ENSMUST00000117172	0
ENSMUST00000124404	0
ENSMUST00000067178	0
ENSMUST00000238425	0
ENSMUST00000238500	0
ENSMUST00000162449	0
ENSMUST00000027289	0
ENSMUST00000194890	0
ENSMUST00000194048	0
ENSMUST00000195450	0
ENSMUST00000169057	0
ENSMUST00000194320	0
ENSMUST00000191981	0
ENSMUST00000195272	4
ENSMUST00000194195	4
ENSMUST00000027288	4
ENSMUST00000192404	0
ENSMUST00000146676	4
ENSMUST00000027287	165
ENSMUST00000193024	4
ENSMUST00000140264	111
ENSMUST00000132401	109
ENSMUST00000136846	117
ENSMUST00000132615	107
ENSMUST00000193774	35
ENSMUST00000137266	107
ENSMUST00000058307	98
ENSMUST00000114933	98
ENSMUST00000168546	98
ENSMUST00000123124	11
ENSMUST00000192652	0
ENSMUST00000027286	957
ENSMUST00000192179	38
ENSMUST00000114925	252
ENSMUST00000027285	274
ENSMUST00000144617	233
ENSMUST00000193979	206
ENSMUST00000118059	273
ENSMUST00000193713	125
ENSMUST00000134184	204
ENSMUST00000042161	76
ENSMUST00000151952	77
ENSMUST00000154819	32
ENSMUST00000143636	27
ENSMUST00000149791	6
ENSMUST00000148047	6
ENSMUST00000194660	8
ENSMUST00000195598	4
ENSMUST00000192316	0
ENSMUST00000160023	44
ENSMUST00000162875	66
ENSMUST00000160589	3
ENSMUST00000192005	0
ENSMUST00000192480	0
ENSMUST00000041815	32
ENSMUST00000114902	32
ENSMUST00000088072	32
ENSMUST00000151735	32
ENSMUST00000123082	71
ENSMUST00000155852	65
ENSMUST00000193669	42
ENSMUST00000134024	15
ENSMUST00000128085	28
ENSMUST00000041621	80
ENSMUST00000142670	35
ENSMUST00000144440	39
ENSMUST00000139725	140
ENSMUST00000027257	202
ENSMUST00000131754	63
ENSMUST00000127170	145
ENSMUST00000138806	65
ENSMUST00000027256	345
ENSMUST00000193673	341
ENSMUST00000161694	20
ENSMUST00000160082	81
ENSMUST00000194857	316
ENSMUST00000195373	337
ENSMUST00000162513	258
ENSMUST00000078307	0
ENSMUST00000144184	0
ENSMUST00000027254	0
ENSMUST00000114894	0
ENSMUST00000162031	866
ENSMUST00000193832	813
ENSMUST00000195247	755
ENSMUST00000194747	791
ENSMUST00000192960	660
ENSMUST00000195032	684
ENSMUST00000192237	397
ENSMUST00000194692	17
ENSMUST00000027252	3379
ENSMUST00000192548	3361
ENSMUST00000193806	131
ENSMUST00000193151	284
ENSMUST00000195664	317
ENSMUST00000027251	941
ENSMUST00000194650	674
ENSMUST00000193008	84
ENSMUST00000193113	40
ENSMUST00000194815	86
ENSMUST00000193472	104
ENSMUST00000192697	75
ENSMUST00000193922	40
ENSMUST00000192594	193
ENSMUST00000193697	174
ENSMUST00000195383	71
ENSMUST00000095027	21
ENSMUST00000238906	21
ENSMUST00000039827	21
ENSMUST00000136641	5
ENSMUST00000027250	0
ENSMUST00000134963	0
ENSMUST00000192930	0
ENSMUST00000147695	0
ENSMUST00000039612	0
ENSMUST00000191724	0
ENSMUST00000027249	0
ENSMUST00000193441	0
ENSMUST00000192948	0
ENSMUST00000194361	0
ENSMUST00000194657	0
ENSMUST00000193435	0
ENSMUST00000192175	0
ENSMUST00000195731	0
ENSMUST00000088029	0
ENSMUST00000160214	0
ENSMUST00000027247	1056
ENSMUST00000193489	400
ENSMUST00000194552	897
ENSMUST00000193073	638
ENSMUST00000194994	37
ENSMUST00000195455	0
ENSMUST00000173050	0
ENSMUST00000056815	0
ENSMUST00000172825	0
ENSMUST00000086535	1763
ENSMUST00000194746	1697
ENSMUST00000178079	1693
ENSMUST00000179954	1694
ENSMUST00000195123	1691
ENSMUST00000191855	1171
ENSMUST00000054462	288
ENSMUST00000192099	78
ENSMUST00000192531	237
ENSMUST00000193823	193
ENSMUST00000195854	38
ENSMUST00000191698	0
ENSMUST00000161515	759
ENSMUST00000003219	758
ENSMUST00000160145	601
ENSMUST00000195567	177
ENSMUST00000062525	863
ENSMUST00000195136	412
ENSMUST00000153381	134
ENSMUST00000195705	97
ENSMUST00000053355	0
ENSMUST00000151913	0
ENSMUST00000126760	0
ENSMUST00000171319	0
ENSMUST00000168431	6699
ENSMUST00000163854	6757
ENSMUST00000193661	137
ENSMUST00000191761	2106
ENSMUST00000193682	6755
ENSMUST00000195860	6045
ENSMUST00000195259	5984
ENSMUST00000195636	6884
ENSMUST00000192509	6122
ENSMUST00000193514	411
ENSMUST00000194163	166
ENSMUST00000195356	184
ENSMUST00000192355	545
ENSMUST00000191964	520
ENSMUST00000191865	870
ENSMUST00000192194	130
ENSMUST00000192884	643
ENSMUST00000191657	1034
ENSMUST00000193054	0
ENSMUST00000191671	0
ENSMUST00000027243	0
ENSMUST00000195770	0
ENSMUST00000194913	0
ENSMUST00000193969	0
ENSMUST00000027241	210
ENSMUST00000114795	210
ENSMUST00000195402	0
ENSMUST00000191850	0
ENSMUST00000192551	0
ENSMUST00000095020	0
ENSMUST00000194296	0
ENSMUST00000193388	0
ENSMUST00000174335	67
ENSMUST00000173881	23
ENSMUST00000097772	124
ENSMUST00000173514	141
ENSMUST00000053043	122
ENSMUST00000167723	16
ENSMUST00000193391	16
ENSMUST00000193793	18
ENSMUST00000087983	26
ENSMUST00000195684	26
ENSMUST00000108044	32
ENSMUST00000027237	31
ENSMUST00000163057	3
ENSMUST00000159724	3
ENSMUST00000160468	6
ENSMUST00000027233	0
ENSMUST00000192849	0
ENSMUST00000193371	0
ENSMUST00000192454	0
ENSMUST00000192078	0
ENSMUST00000027231	0
ENSMUST00000192345	0
ENSMUST00000192294	0
ENSMUST00000039672	68
ENSMUST00000131390	68
ENSMUST00000144385	1
ENSMUST00000114765	0
ENSMUST00000191992	0
ENSMUST00000191831	0
ENSMUST00000054883	0
ENSMUST00000057208	457
ENSMUST00000185376	334
ENSMUST00000185523	354
ENSMUST00000188174	155
ENSMUST00000187414	243
ENSMUST00000201108	336
ENSMUST00000202358	193
ENSMUST00000188621	0
ENSMUST00000179766	0
ENSMUST00000179655	0
ENSMUST00000187998	0
ENSMUST00000114761	0
ENSMUST00000095014	797
ENSMUST00000186694	789
ENSMUST00000188598	109
ENSMUST00000188728	115
ENSMUST00000190427	36
ENSMUST00000187525	69
ENSMUST00000187872	77
ENSMUST00000189010	61
ENSMUST00000010434	310
ENSMUST00000008280	635
ENSMUST00000185893	568
ENSMUST00000187357	114
ENSMUST00000187435	15
ENSMUST00000136648	11
ENSMUST00000086421	390
ENSMUST00000124817	1
ENSMUST00000202540	46
ENSMUST00000114744	92
ENSMUST00000194710	0
ENSMUST00000193169	12
ENSMUST00000027217	0
ENSMUST00000126008	1958
