Identifier	matchCounts
ENSMUST00000152626	502
ENSMUST00000192560	0
ENSMUST00000162751	192
ENSMUST00000054668	192
ENSMUST00000162627	192
ENSMUST00000027052	192
ENSMUST00000162435	192
ENSMUST00000159558	326
ENSMUST00000128957	326
ENSMUST00000131257	311
ENSMUST00000115360	197
ENSMUST00000162007	325
ENSMUST00000127420	325
ENSMUST00000149320	194
ENSMUST00000151888	83
ENSMUST00000153966	51
ENSMUST00000115359	55
ENSMUST00000145092	52
ENSMUST00000144138	51
ENSMUST00000182554	161
ENSMUST00000182080	56
ENSMUST00000117146	436
ENSMUST00000236045	162
ENSMUST00000133639	162
ENSMUST00000136455	148
ENSMUST00000132919	106
ENSMUST00000195710	0
ENSMUST00000188641	756
ENSMUST00000115352	693
ENSMUST00000186948	402
ENSMUST00000187910	398
ENSMUST00000185771	397
ENSMUST00000185393	367
ENSMUST00000186701	299
ENSMUST00000188987	155
ENSMUST00000186541	157
ENSMUST00000190986	155
ENSMUST00000191535	156
ENSMUST00000177501	270
ENSMUST00000177532	129
ENSMUST00000065373	270
ENSMUST00000176451	37
ENSMUST00000191260	7
ENSMUST00000026881	45
ENSMUST00000190366	45
ENSMUST00000194790	0
ENSMUST00000186024	1
ENSMUST00000038382	12
ENSMUST00000026879	4
ENSMUST00000150457	2
ENSMUST00000189736	2
ENSMUST00000189465	2
ENSMUST00000088476	0
ENSMUST00000159958	0
ENSMUST00000160305	0
ENSMUST00000095075	0
ENSMUST00000130669	0
ENSMUST00000026876	0
ENSMUST00000115340	0
ENSMUST00000115344	0
ENSMUST00000097818	0
ENSMUST00000088463	0
ENSMUST00000097817	0
ENSMUST00000037294	0
ENSMUST00000149505	0
ENSMUST00000027059	0
ENSMUST00000187754	0
ENSMUST00000064976	0
ENSMUST00000191068	0
ENSMUST00000186972	0
ENSMUST00000193790	0
ENSMUST00000088448	2178
ENSMUST00000132647	80
ENSMUST00000147480	136
ENSMUST00000128051	116
ENSMUST00000194347	0
ENSMUST00000027061	0
ENSMUST00000039046	0
ENSMUST00000191111	0
ENSMUST00000189301	0
ENSMUST00000190692	0
ENSMUST00000053266	2381
ENSMUST00000185296	2382
ENSMUST00000188112	451
ENSMUST00000191061	516
ENSMUST00000190421	418
ENSMUST00000189400	113
ENSMUST00000068880	112
ENSMUST00000167119	45
ENSMUST00000187651	45
ENSMUST00000160782	0
ENSMUST00000038447	12
ENSMUST00000037998	1206
ENSMUST00000187210	166
ENSMUST00000027065	104
ENSMUST00000027064	111
ENSMUST00000191648	0
ENSMUST00000027067	15
ENSMUST00000121676	14
ENSMUST00000124990	8
ENSMUST00000190711	0
ENSMUST00000088407	0
ENSMUST00000070223	0
ENSMUST00000147615	0
ENSMUST00000029667	63
ENSMUST00000115300	63
ENSMUST00000173058	16
ENSMUST00000174183	19
ENSMUST00000173404	19
ENSMUST00000115299	4
ENSMUST00000134505	0
ENSMUST00000192487	0
ENSMUST00000194737	0
ENSMUST00000081544	0
ENSMUST00000115273	0
ENSMUST00000097811	0
ENSMUST00000097810	0
ENSMUST00000097809	0
ENSMUST00000164877	0
ENSMUST00000185942	0
ENSMUST00000097808	0
ENSMUST00000218140	0
ENSMUST00000073179	0
ENSMUST00000193885	0
ENSMUST00000195365	0
ENSMUST00000027343	67
ENSMUST00000186064	42
ENSMUST00000188677	11
ENSMUST00000189537	0
ENSMUST00000144602	0
ENSMUST00000063663	0
ENSMUST00000140583	0
ENSMUST00000149737	463
ENSMUST00000027339	606
ENSMUST00000136506	125
ENSMUST00000129254	468
ENSMUST00000148710	301
ENSMUST00000141330	321
ENSMUST00000133398	313
ENSMUST00000027338	79
ENSMUST00000155767	48
ENSMUST00000192339	0
ENSMUST00000195143	0
ENSMUST00000187619	225
ENSMUST00000188712	615
ENSMUST00000187752	646
ENSMUST00000187369	643
ENSMUST00000186331	381
ENSMUST00000027337	657
ENSMUST00000185807	90
ENSMUST00000186999	294
ENSMUST00000185525	134
ENSMUST00000192408	0
ENSMUST00000054588	0
ENSMUST00000088349	0
ENSMUST00000124600	0
ENSMUST00000147902	0
ENSMUST00000144297	0
ENSMUST00000115244	0
ENSMUST00000051344	0
ENSMUST00000191471	612
ENSMUST00000186096	149
ENSMUST00000186190	97
ENSMUST00000095062	593
ENSMUST00000187468	119
ENSMUST00000190195	182
ENSMUST00000126626	1
ENSMUST00000146592	1
ENSMUST00000135518	1
ENSMUST00000151309	1
ENSMUST00000041838	1
ENSMUST00000153568	1
ENSMUST00000126096	0
ENSMUST00000154102	0
ENSMUST00000190202	0
ENSMUST00000134022	0
ENSMUST00000189254	0
ENSMUST00000193138	0
ENSMUST00000192443	0
ENSMUST00000192367	0
ENSMUST00000193392	0
ENSMUST00000193079	0
ENSMUST00000195128	0
ENSMUST00000192216	0
ENSMUST00000195543	0
ENSMUST00000194535	0
ENSMUST00000193573	0
ENSMUST00000194644	0
ENSMUST00000192614	0
ENSMUST00000191772	0
ENSMUST00000195723	0
ENSMUST00000192448	0
ENSMUST00000194923	0
ENSMUST00000195187	0
ENSMUST00000193912	0
ENSMUST00000195754	0
ENSMUST00000194343	0
ENSMUST00000097801	0
ENSMUST00000193585	0
ENSMUST00000059937	0
ENSMUST00000186733	2188
ENSMUST00000088310	2188
ENSMUST00000191329	1453
ENSMUST00000190190	82
ENSMUST00000187316	34
ENSMUST00000186105	218
ENSMUST00000191245	178
ENSMUST00000191064	138
ENSMUST00000188847	56
ENSMUST00000187600	21
ENSMUST00000185521	165
ENSMUST00000188780	89
ENSMUST00000187968	6
ENSMUST00000185604	3
ENSMUST00000195437	2
ENSMUST00000192050	6
ENSMUST00000232841	323
ENSMUST00000153681	210
ENSMUST00000130934	133
ENSMUST00000233506	323
ENSMUST00000027232	323
ENSMUST00000076587	206
ENSMUST00000238874	0
ENSMUST00000178317	0
ENSMUST00000233331	0
ENSMUST00000152491	0
ENSMUST00000187892	0
ENSMUST00000188605	0
ENSMUST00000127775	0
ENSMUST00000187659	0
ENSMUST00000135245	0
ENSMUST00000062560	0
ENSMUST00000161773	0
ENSMUST00000027230	0
ENSMUST00000027226	0
ENSMUST00000189878	0
ENSMUST00000188257	0
ENSMUST00000185666	0
ENSMUST00000186984	0
ENSMUST00000195178	0
ENSMUST00000192993	0
ENSMUST00000193099	0
ENSMUST00000195252	0
ENSMUST00000195761	0
ENSMUST00000171322	0
ENSMUST00000195241	0
ENSMUST00000194631	0
ENSMUST00000027312	641
ENSMUST00000189552	272
ENSMUST00000187353	1
ENSMUST00000192891	0
ENSMUST00000191779	7
ENSMUST00000191965	7
ENSMUST00000193126	0
ENSMUST00000195006	26
ENSMUST00000140354	93
ENSMUST00000088287	635
ENSMUST00000138024	635
ENSMUST00000135330	85
ENSMUST00000151482	146
ENSMUST00000115174	625
ENSMUST00000150593	416
ENSMUST00000122822	117
ENSMUST00000132066	339
ENSMUST00000044691	965
ENSMUST00000155484	227
ENSMUST00000187602	203
ENSMUST00000189741	77
ENSMUST00000195310	0
ENSMUST00000139143	676
ENSMUST00000019861	707
ENSMUST00000115167	123
ENSMUST00000151055	123
ENSMUST00000194656	146
ENSMUST00000130376	106
ENSMUST00000140163	40
ENSMUST00000044455	412
ENSMUST00000125723	23
ENSMUST00000115161	8
ENSMUST00000129464	7
ENSMUST00000062289	10
ENSMUST00000195350	3
ENSMUST00000126724	5
ENSMUST00000139700	3
ENSMUST00000195730	0
ENSMUST00000183034	5630
ENSMUST00000187486	492
ENSMUST00000182697	57
ENSMUST00000182314	57
ENSMUST00000183331	249
ENSMUST00000097786	5166
ENSMUST00000115104	6092
ENSMUST00000097785	6087
ENSMUST00000239001	49
ENSMUST00000182410	28
ENSMUST00000183006	28
ENSMUST00000183302	432
ENSMUST00000185897	1302
ENSMUST00000185269	5045
ENSMUST00000182335	118
ENSMUST00000189952	17
ENSMUST00000194192	1349
ENSMUST00000182018	2951
ENSMUST00000185736	140
ENSMUST00000183100	470
ENSMUST00000182507	451
ENSMUST00000193333	0
ENSMUST00000194178	0
ENSMUST00000194920	0
ENSMUST00000195223	0
ENSMUST00000042493	246
ENSMUST00000188583	244
ENSMUST00000027303	701
ENSMUST00000187077	34
ENSMUST00000137794	113
ENSMUST00000149962	360
ENSMUST00000134327	200
ENSMUST00000128086	57
ENSMUST00000136770	347
ENSMUST00000191000	28
ENSMUST00000185610	0
ENSMUST00000027302	4
ENSMUST00000190122	1
ENSMUST00000188884	1
ENSMUST00000186252	0
ENSMUST00000188972	0
ENSMUST00000188019	0
ENSMUST00000027299	0
ENSMUST00000191604	0
ENSMUST00000027298	0
ENSMUST00000115071	0
ENSMUST00000190790	0
ENSMUST00000047840	0
ENSMUST00000052670	0
ENSMUST00000159747	28
ENSMUST00000162599	16
ENSMUST00000159021	2
ENSMUST00000047664	28
ENSMUST00000162760	10
ENSMUST00000159059	2
ENSMUST00000160855	9
ENSMUST00000211073	0
ENSMUST00000167518	3536
ENSMUST00000047534	3536
ENSMUST00000170092	1153
ENSMUST00000185469	1136
ENSMUST00000191307	1026
ENSMUST00000185279	790
ENSMUST00000185231	711
ENSMUST00000140534	383
ENSMUST00000192924	0
ENSMUST00000156687	353
ENSMUST00000027297	1269
ENSMUST00000152654	218
ENSMUST00000191722	368
ENSMUST00000195698	1
ENSMUST00000088174	4363
ENSMUST00000194670	2106
ENSMUST00000046875	5324
ENSMUST00000173999	2450
ENSMUST00000174266	5015
ENSMUST00000173250	231
ENSMUST00000174224	745
ENSMUST00000173166	1593
ENSMUST00000173082	171
ENSMUST00000174716	1793
ENSMUST00000174142	450
ENSMUST00000172592	296
ENSMUST00000192159	68
ENSMUST00000056946	19
ENSMUST00000188666	3
ENSMUST00000126413	18
ENSMUST00000142319	3
ENSMUST00000150747	12
ENSMUST00000145179	18
ENSMUST00000124280	25
ENSMUST00000097778	47
ENSMUST00000116629	47
ENSMUST00000115031	49
ENSMUST00000115032	53
ENSMUST00000137906	53
ENSMUST00000192874	6
ENSMUST00000115029	51
ENSMUST00000140218	4
ENSMUST00000147123	8
ENSMUST00000141121	7
ENSMUST00000185912	1155
ENSMUST00000010597	1158
ENSMUST00000186470	696
ENSMUST00000188961	697
ENSMUST00000188528	77
ENSMUST00000185621	67
ENSMUST00000187628	43
ENSMUST00000185614	60
ENSMUST00000188957	6
ENSMUST00000179162	0
ENSMUST00000202030	0
ENSMUST00000140452	0
ENSMUST00000192969	29
ENSMUST00000125304	157
ENSMUST00000134594	137
ENSMUST00000115011	140
ENSMUST00000001171	139
ENSMUST00000152088	14
ENSMUST00000123583	48
ENSMUST00000193502	15
ENSMUST00000153128	431
ENSMUST00000192530	61
ENSMUST00000193157	5
ENSMUST00000001166	614
ENSMUST00000097776	616
ENSMUST00000154225	53
ENSMUST00000195264	30
ENSMUST00000135100	106
ENSMUST00000193083	76
ENSMUST00000054665	59
ENSMUST00000194853	42
ENSMUST00000193991	32
ENSMUST00000191849	93
ENSMUST00000207088	29
ENSMUST00000207843	83
ENSMUST00000001172	55
ENSMUST00000194894	31
ENSMUST00000207922	13
ENSMUST00000208690	21
ENSMUST00000208269	7
ENSMUST00000191677	711
ENSMUST00000191642	713
ENSMUST00000195620	713
ENSMUST00000114991	711
ENSMUST00000191785	163
ENSMUST00000195160	137
ENSMUST00000193382	30
ENSMUST00000195339	28
ENSMUST00000170295	1
ENSMUST00000193548	1
ENSMUST00000193763	1
ENSMUST00000194025	1
ENSMUST00000194839	0
ENSMUST00000193155	0
ENSMUST00000195729	0
ENSMUST00000114981	0
ENSMUST00000081180	1205
ENSMUST00000193210	1224
ENSMUST00000195151	977
ENSMUST00000191790	1173
ENSMUST00000192859	1024
ENSMUST00000193235	1204
ENSMUST00000043951	2159
ENSMUST00000159675	125
ENSMUST00000162684	551
ENSMUST00000159448	710
ENSMUST00000160084	675
ENSMUST00000160043	479
ENSMUST00000162662	433
ENSMUST00000192873	2
ENSMUST00000208994	1
ENSMUST00000195374	0
ENSMUST00000193459	0
ENSMUST00000027291	1
ENSMUST00000185871	0
ENSMUST00000186624	1
ENSMUST00000190128	0
ENSMUST00000027290	4424
ENSMUST00000194563	4424
ENSMUST00000191381	1469
ENSMUST00000187917	128
ENSMUST00000189470	186
ENSMUST00000190442	296
ENSMUST00000186486	327
ENSMUST00000185964	116
ENSMUST00000192008	0
ENSMUST00000194249	1
ENSMUST00000117172	0
ENSMUST00000124404	0
ENSMUST00000067178	0
ENSMUST00000238425	0
ENSMUST00000238500	0
ENSMUST00000162449	0
ENSMUST00000027289	0
ENSMUST00000194890	0
ENSMUST00000194048	0
ENSMUST00000195450	0
ENSMUST00000169057	0
ENSMUST00000194320	0
ENSMUST00000191981	0
ENSMUST00000195272	1
ENSMUST00000194195	1
ENSMUST00000027288	2
ENSMUST00000192404	0
ENSMUST00000146676	9
ENSMUST00000027287	173
ENSMUST00000193024	9
ENSMUST00000140264	103
ENSMUST00000132401	103
ENSMUST00000136846	107
ENSMUST00000132615	96
ENSMUST00000193774	25
ENSMUST00000137266	97
ENSMUST00000058307	78
ENSMUST00000114933	79
ENSMUST00000168546	78
ENSMUST00000123124	17
ENSMUST00000192652	0
ENSMUST00000027286	803
ENSMUST00000192179	42
ENSMUST00000114925	263
ENSMUST00000027285	298
ENSMUST00000144617	238
ENSMUST00000193979	218
ENSMUST00000118059	293
ENSMUST00000193713	130
ENSMUST00000134184	218
ENSMUST00000042161	80
ENSMUST00000151952	81
ENSMUST00000154819	26
ENSMUST00000143636	24
ENSMUST00000149791	3
ENSMUST00000148047	3
ENSMUST00000194660	4
ENSMUST00000195598	0
ENSMUST00000192316	0
ENSMUST00000160023	41
ENSMUST00000162875	67
ENSMUST00000160589	5
ENSMUST00000192005	0
ENSMUST00000192480	0
ENSMUST00000041815	15
ENSMUST00000114902	15
ENSMUST00000088072	14
ENSMUST00000151735	14
ENSMUST00000123082	47
ENSMUST00000155852	42
ENSMUST00000193669	27
ENSMUST00000134024	9
ENSMUST00000128085	14
ENSMUST00000041621	70
ENSMUST00000142670	22
ENSMUST00000144440	23
ENSMUST00000139725	132
ENSMUST00000027257	198
ENSMUST00000131754	57
ENSMUST00000127170	130
ENSMUST00000138806	80
ENSMUST00000027256	318
ENSMUST00000193673	318
ENSMUST00000161694	14
ENSMUST00000160082	61
ENSMUST00000194857	287
ENSMUST00000195373	315
ENSMUST00000162513	246
ENSMUST00000078307	0
ENSMUST00000144184	0
ENSMUST00000027254	0
ENSMUST00000114894	0
ENSMUST00000162031	699
ENSMUST00000193832	645
ENSMUST00000195247	596
ENSMUST00000194747	638
ENSMUST00000192960	512
ENSMUST00000195032	517
ENSMUST00000192237	327
ENSMUST00000194692	5
ENSMUST00000027252	2906
ENSMUST00000192548	2886
ENSMUST00000193806	114
ENSMUST00000193151	236
ENSMUST00000195664	280
ENSMUST00000027251	825
ENSMUST00000194650	600
ENSMUST00000193008	102
ENSMUST00000193113	29
ENSMUST00000194815	71
ENSMUST00000193472	70
ENSMUST00000192697	61
ENSMUST00000193922	40
ENSMUST00000192594	162
ENSMUST00000193697	141
ENSMUST00000195383	40
ENSMUST00000095027	30
ENSMUST00000238906	30
ENSMUST00000039827	30
ENSMUST00000136641	10
ENSMUST00000027250	0
ENSMUST00000134963	0
ENSMUST00000192930	0
ENSMUST00000147695	0
ENSMUST00000039612	0
ENSMUST00000191724	0
ENSMUST00000027249	0
ENSMUST00000193441	0
ENSMUST00000192948	0
ENSMUST00000194361	0
ENSMUST00000194657	0
ENSMUST00000193435	0
ENSMUST00000192175	0
ENSMUST00000195731	0
ENSMUST00000088029	0
ENSMUST00000160214	0
ENSMUST00000027247	930
ENSMUST00000193489	337
ENSMUST00000194552	775
ENSMUST00000193073	581
ENSMUST00000194994	35
ENSMUST00000195455	0
ENSMUST00000173050	0
ENSMUST00000056815	0
ENSMUST00000172825	0
ENSMUST00000086535	1508
ENSMUST00000194746	1448
ENSMUST00000178079	1442
ENSMUST00000179954	1442
ENSMUST00000195123	1441
ENSMUST00000191855	1059
ENSMUST00000054462	273
ENSMUST00000192099	80
ENSMUST00000192531	233
ENSMUST00000193823	178
ENSMUST00000195854	32
ENSMUST00000191698	0
ENSMUST00000161515	640
ENSMUST00000003219	638
ENSMUST00000160145	534
ENSMUST00000195567	138
ENSMUST00000062525	922
ENSMUST00000195136	433
ENSMUST00000153381	115
ENSMUST00000195705	100
ENSMUST00000053355	0
ENSMUST00000151913	0
ENSMUST00000126760	0
ENSMUST00000171319	0
ENSMUST00000168431	6352
ENSMUST00000163854	6397
ENSMUST00000193661	157
ENSMUST00000191761	1913
ENSMUST00000193682	6472
ENSMUST00000195860	5682
ENSMUST00000195259	5630
ENSMUST00000195636	6589
ENSMUST00000192509	5758
ENSMUST00000193514	344
ENSMUST00000194163	150
ENSMUST00000195356	147
ENSMUST00000192355	487
ENSMUST00000191964	470
