MUV-21 simulated	
2 q(deg.)	Intenisty (a. u.)
18.86	2.06211
18.88	2.07796
18.9	2.09218
18.92	2.09895
18.94	2.12095
18.96	2.17062
18.98	2.24955
19	2.35757
19.02	2.48789
19.04	2.65981
19.06	2.87104
19.08	3.13028
19.1	3.44989
19.12	3.84733
19.14	4.34764
19.16	4.98752
19.18	5.82303
19.2	6.94535
19.22	8.51525
19.24	10.7918
19.26	14.4239
19.28	20.3337
19.3	29.8772
19.32	44.1098
19.34	61.9766
19.36	78.4027
19.38	83.4038
19.4	73.0903
19.42	55.5047
19.44	38.5796
19.46	26.2981
19.48	18.4941
19.5	13.8746
19.52	11.1141
19.54	9.42139
19.56	8.36575
19.58	7.72998
19.6	7.40722
19.62	7.35797
19.64	7.5849
19.66	8.13329
19.68	9.09023
19.7	10.576
19.72	12.7833
19.74	16.1496
19.76	21.1424
19.78	28.1133
19.8	37.0186
19.82	44.35
19.84	43.6244
19.86	35.6968
19.88	27.6964
19.9	22.6408
19.92	20.4022
19.94	20.3996
19.96	22.2756
19.98	26.2796
20	32.9112
20.02	44.3958
20.04	64.0675
20.06	96.5363
20.08	144.532
20.1	198.143
20.12	219.099
20.14	184.164
20.16	130.311
20.18	87.7553
20.2	60.9227
20.22	46.3403
20.24	40.3059
20.26	40.3332
20.28	44.1345
20.3	47.1339
20.32	43.4398
20.34	34.2338
20.36	25.4112
20.38	19.1378
20.4	15.1327
20.42	12.6638
20.44	11.1286
20.46	10.153
20.48	9.53859
20.5	9.18789
20.52	9.08055
20.54	9.14693
20.56	9.41488
20.58	9.90617
20.6	10.6658
20.62	11.7725
20.64	13.3622
20.66	15.6852
20.68	19.2274
20.7	24.9147
20.72	34.3189
20.74	49.6051
20.76	72.4911
20.78	99.9194
20.8	118.98
20.82	122.575
20.84	114.11
20.86	91.7731
20.88	65.493
20.9	45.3521
20.92	32.4155
20.94	24.6877
20.96	20.1758
20.98	17.5564
21	16.1113
21.02	15.5136
21.04	15.557
21.06	16.1518
21.08	16.9841
21.1	17.6957
21.12	18.5707
21.14	20.1426
21.16	22.7522
21.18	26.9166
21.2	33.5824
21.22	44.3758
21.24	61.5039
21.26	86.6171
21.28	116.331
21.3	135.914
21.32	137.94
21.34	140.311
21.36	154.439
21.38	177.517
21.4	209.426
21.42	252.453
21.44	295.031
21.46	294.165
21.48	237.881
21.5	170.308
21.52	119.034
21.54	84.5684
21.56	61.8527
21.58	47.279
21.6	38.5025
21.62	33.4161
21.64	31.1163
21.66	31.5225
21.68	35.3363
21.7	43.8729
21.72	58.2354
21.74	76.242
21.76	87.0051
21.78	79.4928
21.8	61.3648
21.82	44.0345
21.84	31.8577
21.86	24.55
21.88	20.7659
21.9	19.574
21.92	20.6566
21.94	24.1703
21.96	29.8501
21.98	34.918
22	33.9016
22.02	27.2765
22.04	20.4239
22.06	15.5438
22.08	12.5194
22.1	10.8019
22.12	9.8842
22.14	9.50149
22.16	9.54358
22.18	10.027
22.2	11.1331
22.22	13.1819
22.24	16.6747
22.26	21.9391
22.28	28.4817
22.3	32.8166
22.32	31.9713
22.34	29.0381
22.36	28.2224
22.38	30.4701
22.4	35.173
22.42	42.4928
22.44	50.8818
22.46	54.6061
22.48	49.3229
22.5	40.3123
22.52	34.492
22.54	33.841
22.56	37.3658
22.58	40.7733
22.6	38.5993
22.62	32.0914
22.64	26.6858
22.66	24.3263
22.68	25.3284
22.7	29.8985
22.72	38.1239
22.74	48.1199
22.76	53.6621
22.78	51.7977
22.8	49.1084
22.82	51.3918
22.84	59.3615
22.86	71.721
22.88	86.398
22.9	92.42
22.92	80.6758
22.94	61.7765
22.96	47.0836
22.98	38.5329
23	34.687
23.02	33.8041
23.04	35.4917
23.06	40.3202
23.08	49.0778
23.1	62.4861
23.12	83.0544
23.14	116.012
23.16	166.179
23.18	226.704
23.2	259.334
23.22	230.626
23.24	171.279
23.26	118.242
23.28	83.0715
23.3	63.7563
23.32	54.6955
23.34	48.8199
23.36	40.889
23.38	32.3875
23.4	25.8155
23.42	21.4784
23.44	18.9766
23.46	17.9687
23.48	18.3727
23.5	20.4413
23.52	24.3171
23.54	29.0911
23.56	31.5011
23.58	29.9137
23.6	27.6951
23.62	26.7922
23.64	26.4268
23.66	24.8201
23.68	21.5205
23.7	18.4668
23.72	16.7813
23.74	16.542
23.76	17.5531
23.78	19.41
23.8	21.1972
23.82	22.4829
23.84	24.4795
23.86	28.4146
23.88	34.8606
23.9	43.3402
23.92	52.6462
23.94	63.1685
23.96	74.9212
23.98	89.3629
24	115.533
24.02	162.494
24.04	230.517
24.06	292.132
24.08	290.905
24.1	229.82
24.12	164.4
24.14	119.907
24.16	94.5154
24.18	76.8946
24.2	60.4974
24.22	46.8801
24.24	36.8251
24.26	29.8967
24.28	25.7576
24.3	23.9635
24.32	24.4685
24.34	27.3769
24.36	32.2443
24.38	36.4427
24.4	35.4646
24.42	30.7232
24.44	27.224
24.46	27.217
24.48	31.3294
24.5	39.2263
24.52	47.7354
24.54	49.7922
24.56	44.022
24.58	37.9232
24.6	36.1896
24.62	38.4989
24.64	40.1263
24.66	35.9586
24.68	29.5852
24.7	25.4823
24.72	25.2096
24.74	28.7472
24.76	34.773
24.78	38.7747
24.8	37.276
24.82	32.2428
24.84	28.0699
24.86	25.8037
24.88	23.0631
24.9	19.2175
24.92	16.2949
24.94	15.3418
24.96	16.2856
24.98	17.9251
25	17.6596
25.02	14.6908
25.04	11.3004
25.06	8.76819
25.08	7.14691
25.1	6.18305
25.12	5.62814
25.14	5.31526
25.16	5.18247
25.18	5.20591
25.2	5.33111
25.22	5.58964
25.24	6.01202
25.26	6.65718
25.28	7.66052
25.3	9.25519
25.32	11.7202
25.34	15.532
25.36	20.9304
25.38	27.5029
25.4	35.3557
25.42	43.8839
25.44	47.1885
25.46	40.8523
25.48	30.8363
25.5	22.935
25.52	18.2453
25.54	16.2112
25.56	15.9977
25.58	17.9676
25.6	22.1335
25.62	28.9367
25.64	38.6178
25.66	48.8433
25.68	54.373
25.7	55.7479
25.72	54.8807
25.74	48.7704
25.76	40.6685
25.78	36.1924
25.8	37.1808
25.82	43.3688
25.84	53.2395
25.86	61.7739
25.88	61.6963
25.9	55.4633
