EtOH	
2 q(deg.)	Intenisty (a. u.)
9.27914	3912
9.29227	3703
9.3054	3736
9.31853	3796
9.33166	3897
9.34479	3816
9.35792	3826
9.37105	3873
9.38418	3731
9.39731	3827
9.41044	3821
9.42357	3695
9.43671	3823
9.44984	3797
9.46297	3701
9.4761	3679
9.48923	3710
9.50236	3640
9.51549	3752
9.52862	3566
9.54175	3691
9.55488	3637
9.56801	3634
9.58114	3732
9.59427	3646
9.6074	3539
9.62053	3652
9.63366	3603
9.64679	3765
9.65992	3660
9.67305	3556
9.68618	3681
9.69931	3674
9.71244	3617
9.72557	3695
9.7387	3644
9.75183	3652
9.76496	3533
9.77809	3525
9.79122	3595
9.80435	3725
9.81748	3639
9.83061	3725
9.84374	3556
9.85687	3574
9.87	3584
9.88313	3605
9.89627	3619
9.9094	3647
9.92253	3646
9.93566	3707
9.94879	3584
9.96192	3611
9.97505	3621
9.98818	3577
10.00131	3580
10.01444	3531
10.02757	3745
10.0407	3753
10.05383	3576
10.06696	3568
10.08009	3693
10.09322	3605
10.10635	3627
10.11948	3681
10.13261	3626
10.14574	3605
10.15887	3557
10.172	3678
10.18513	3570
10.19826	3666
10.21139	3626
10.22452	3575
10.23765	3628
10.25078	3651
10.26391	3553
10.27704	3639
10.29017	3670
10.3033	3667
10.31643	3582
10.32956	3547
10.34269	3537
10.35582	3592
10.36896	3508
10.38209	3490
10.39522	3577
10.40835	3522
10.42148	3614
10.43461	3516
10.44774	3617
10.46087	3615
10.474	3557
10.48713	3450
10.50026	3539
10.51339	3509
10.52652	3556
10.53965	3593
10.55278	3587
10.56591	3491
10.57904	3626
10.59217	3606
10.6053	3598
10.61843	3685
10.63156	3697
10.64469	3746
10.65782	3616
10.67095	3615
10.68408	3578
10.69721	3595
10.71034	3748
10.72347	3660
10.7366	3722
10.74973	3706
10.76286	3721
10.77599	3680
10.78912	3804
10.80225	3844
10.81538	3813
10.82852	3845
10.84165	3729
10.85478	3951
10.86791	3868
10.88104	3946
10.89417	4000
10.9073	4204
10.92043	4030
10.93356	4084
10.94669	4230
10.95982	4231
10.97295	4364
10.98608	4462
10.99921	4473
11.01234	4612
11.02547	4561
11.0386	4516
11.05173	4600
11.06486	4791
11.07799	4811
11.09112	4957
11.10425	5091
11.11738	5148
11.13051	5151
11.14364	5339
11.15677	5513
11.1699	5746
11.18303	6076
11.19616	6257
11.20929	6383
11.22242	6754
11.23555	7012
11.24868	7129
11.26181	7362
11.27494	7163
11.28807	6879
11.30121	6438
11.31434	5904
11.32747	5412
11.3406	5200
11.35373	4768
11.36686	4630
11.37999	4520
11.39312	4351
11.40625	4317
11.41938	4185
11.43251	4176
11.44564	4084
11.45877	4120
11.4719	4224
11.48503	4127
11.49816	4052
11.51129	4129
11.52442	4048
11.53755	3968
11.55068	3941
11.56381	3875
11.57694	3886
11.59007	3832
11.6032	3843
11.61633	3800
11.62946	3768
11.64259	3842
11.65572	3865
11.66885	3842
11.68198	3829
11.69511	3897
11.70824	3812
11.72137	4043
11.7345	4057
11.74763	3987
11.76077	4040
11.7739	4067
11.78703	4172
11.80016	4175
11.81329	4234
11.82642	4241
11.83955	4320
11.85268	4241
11.86581	4333
11.87894	4309
11.89207	4333
11.9052	4312
11.91833	4280
11.93146	4288
11.94459	4317
11.95772	4160
11.97085	4015
11.98398	4031
11.99711	3861
12.01024	3853
12.02337	3718
12.0365	3759
12.04963	3705
12.06276	3714
12.07589	3603
12.08902	3570
12.10215	3495
12.11528	3436
12.12841	3459
12.14154	3526
12.15467	3538
12.1678	3486
12.18093	3534
12.19406	3450
12.20719	3518
12.22033	3482
12.23346	3491
12.24659	3498
12.25972	3512
12.27285	3425
12.28598	3353
12.29911	3341
12.31224	3420
12.32537	3413
12.3385	3430
12.35163	3463
12.36476	3514
12.37789	3433
12.39102	3547
12.40415	3469
12.41728	3461
12.43041	3393
12.44354	3439
12.45667	3483
